Year,1,2,3,4,5,6,7,8,9,10
1971,0.662,1.709,4.444,7.321,9.529,11.605,13.513,15.327,15.744,15.744
1972,0.662,1.709,4.444,7.321,9.529,11.605,13.513,15.327,15.744,15.744
1973,0.662,1.709,4.444,7.321,9.529,11.605,13.513,15.327,15.744,15.744
1974,0.662,1.709,4.444,7.321,9.529,11.605,13.513,15.327,15.744,15.744
1975,0.662,1.709,4.444,7.321,9.529,11.605,13.513,15.327,15.744,15.744
1976,0.662,1.709,4.444,7.321,9.529,11.605,13.513,15.327,15.744,15.744
1977,0.662,1.709,4.444,7.321,9.529,11.605,13.513,15.327,15.744,15.744
1978,0.662,1.709,4.444,7.321,9.529,11.605,13.513,15.327,15.744,15.744
1979,0.662,1.709,4.444,7.321,9.529,11.605,13.513,15.327,15.744,15.744
1980,0.662,1.709,4.444,7.321,9.529,11.605,13.513,15.327,15.744,15.744
1981,0.460,1.549,2.284,7.806,10.544,11.439,14.464,15.354,15.354,15.354
1982,0.704,1.488,3.876,7.407,9.624,12.316,15.032,18.569,18.569,18.569
1983,0.446,1.945,4.467,7.353,9.752,11.223,15.908,18.089,21.977,21.977
1984,0.512,1.951,4.928,7.433,9.552,12.180,14.181,16.733,16.733,16.733
1985,0.581,2.070,5.333,8.376,10.851,11.585,14.247,16.399,20.853,20.853
1986,0.528,1.902,5.286,7.382,10.689,12.393,14.482,14.482,14.482,14.482
1987,0.522,1.947,4.877,7.946,10.308,14.419,15.171,16.201,16.201,16.201
1988,0.906,1.621,4.887,7.777,10.302,11.786,12.416,13.889,15.119,15.119
1989,0.844,1.463,4.514,7.615,9.438,12.692,12.788,17.794,17.794,17.794
1990,0.613,1.774,4.390,7.186,8.486,10.703,13.305,16.987,13.081,13.081
1991,0.539,1.538,4.791,6.524,8.631,10.672,13.512,14.898,14.898,14.898
1992,0.663,1.318,4.600,6.558,9.342,11.285,12.322,14.770,14.770,14.770
1993,0.703,1.385,4.278,6.574,8.066,10.815,11.945,13.421,16.530,16.530
1994,0.605,1.754,4.189,7.720,9.722,12.101,12.844,15.859,15.859,15.859
1995,0.612,1.444,4.346,7.452,9.140,10.646,13.908,14.147,14.147,14.147
1996,0.673,1.283,4.471,6.747,9.877,11.424,12.848,12.848,12.848,12.848
1997,0.470,1.410,4.079,7.112,9.044,11.156,13.730,13.623,13.623,13.623
1998,0.421,1.314,4.340,6.676,9.303,11.172,12.369,14.205,17.161,14.020
1999,0.778,1.542,4.252,7.126,8.700,11.142,13.978,17.463,17.159,17.159
2000,0.561,1.696,4.223,6.627,9.326,10.505,11.115,13.566,13.566,13.566
2001,0.630,1.455,4.904,7.872,10.192,11.613,13.174,14.715,16.311,16.311
2002,0.352,1.257,4.452,7.046,9.400,10.614,12.637,14.949,14.949,14.949
2003,0.482,1.327,4.111,6.601,9.183,10.635,12.047,15.832,15.832,15.832
2004,0.591,1.258,4.053,6.759,9.372,10.158,11.680,13.850,13.850,13.850
2005,0.588,1.688,4.075,5.945,9.018,11.333,11.487,13.772,13.772,13.772
2006,0.703,1.216,4.233,6.819,8.895,11.487,11.411,12.703,12.703,12.703
2007,0.722,1.399,3.794,6.990,9.809,12.273,15.042,14.465,14.795,14.795
2008,0.869,1.449,4.188,6.896,8.881,11.543,13.624,10.045,13.763,13.763
2009,0.938,1.629,3.865,6.557,8.985,10.567,12.981,12.981,12.981,12.981
2010,0.819,1.424,4.373,6.984,9.891,11.663,12.575,13.085,13.085,13.085
2011,0.374,1.214,4.198,7.239,9.404,11.039,12.785,12.785,12.785,12.785
2012,1.005,1.224,3.534,7.333,10.404,11.702,13.727,12.663,16.045,16.174
2013,0.497,1.377,3.747,6.805,8.491,9.945,9.897,17.158,17.158,17.158
2014,0.464,1.654,3.788,6.530,9.074,10.584,11.611,12.285,12.285,12.285
2015,1.161,1.309,4.079,8.517,10.105,10.661,12.288,13.134,13.134,13.134
2016,0.647,1.310,3.683,6.700,10.573,11.453,12.928,16.875,16.435,16.435
2017,0.299,1.543,3.363,6.191,6.376,10.606,12.327,12.793,31.369,17.514
