Year,1,2,3,4,5,6,7,8
1946,2242460,441747,121082,25207,10180,4651,1820,2149
1947,1250020,729371,187804,51074,10249,4256,2035,1756
1948,1822520,406490,307592,75528,18890,3790,1625,1452
1949,2159150,592533,170315,120047,26451,6521,1342,1089
1950,2209620,701980,248411,66892,42656,9312,2361,880
1951,1732300,718366,293838,96575,23279,14613,3271,1133
1952,1384100,563182,300633,114075,33509,7944,5111,1530
1953,1587890,449890,234182,113181,37401,10644,2569,2125
1954,2303490,516329,189669,95003,42861,14298,4222,1862
1955,2239110,748939,216930,75623,34829,15723,5420,2301
1956,1368750,728105,315923,88063,28634,13304,6229,3056
1957,1136790,444969,304278,121906,30233,9643,4587,3180
1958,1731570,369415,183649,110504,37400,8828,2843,2262
1959,1432200,562817,153643,69568,36788,12132,2923,1681
1960,1588900,465476,233288,57009,22224,11312,3787,1424
1961,1450970,516156,189688,78957,15253,5441,2746,1238
1962,1493800,471566,213565,69302,24385,4483,1614,1167
1963,1606230,485481,195048,77927,21359,7149,1327,813
1964,2552000,521944,199829,69440,22932,5903,1983,585
1965,3330210,829652,218216,77104,23799,7701,2029,876
1966,2901140,1082730,347548,84820,26747,8109,2688,1007
1967,2789250,942648,443441,119133,23038,6649,1999,891
1968,2527750,906337,386951,154178,33286,5941,1706,727
1969,1968340,821258,370711,132701,42114,8352,1480,594
1970,2059230,639493,335777,127203,36355,10616,2093,509
1971,2560970,669009,261476,115652,35184,9287,2700,648
1972,3401780,832177,275329,93143,34103,9755,2585,916
1973,4205380,1105640,344797,101178,29062,10151,2935,1039
1974,2643640,1367190,462147,132322,34222,9584,3417,1325
1975,2230450,859656,576914,187498,49906,12988,3768,1860
1976,3208980,725234,361963,232550,70103,18761,5057,2187
1977,6934950,1043660,306832,147301,87777,26583,7363,2837
1978,5638430,2255760,444117,129437,59744,36545,11570,4449
1979,3342780,1833820,959921,191283,55361,26779,17294,7631
1980,5551690,1087240,779380,407862,79490,23891,12150,11365
1981,5608730,1805100,457231,315914,156001,30946,9690,9570
1982,3700820,1824130,763468,186806,120780,60284,12414,7753
1983,2297960,1203470,770778,313845,72579,47716,24792,8325
1984,1974510,747342,508730,316080,121519,28580,19564,13593
1985,2063960,642022,313678,198224,109460,41195,9908,11419
1986,3098840,671009,268259,119917,66461,35668,13683,7042
1987,1883520,1007490,279945,100164,38002,20045,10857,6235
1988,1177030,612275,418593,102045,30218,10742,5676,4763
1989,1190420,382572,253403,150717,30262,8377,2980,2850
1990,878318,386959,158253,90787,44468,8354,2315,1588
1991,1758670,285359,158115,53872,24306,10812,2004,915
1992,2081900,571742,117649,52959,13353,5232,2243,585
1993,1411160,676908,242526,48015,19468,4780,1902,1014
1994,1192530,458979,287842,105840,20662,8652,2219,1355
1995,1170000,387785,192781,114612,39211,7526,3209,1310
1996,886141,380190,161251,74955,41076,14171,2791,1661
1997,1638480,287971,156554,57171,21299,10750,3690,1125
1998,1652670,532410,119622,56044,15888,5178,2528,1093
1999,1699950,536775,220263,44225,16286,4018,1245,833
2000,1329610,552414,223254,81755,12765,3866,873,419
2001,1710130,432047,227011,77722,21636,2798,761,233
2002,1111690,555691,179068,79401,20475,4781,563,182
2003,1343360,361342,232689,69911,25992,6093,1370,202
2004,2309540,436661,151514,90424,22990,7599,1696,413
2005,1801130,750623,183296,59001,29208,6567,2024,526
2006,2160900,585236,313155,73280,20969,9655,2108,781
2007,2242030,702735,246682,123517,24770,6301,2720,764
2008,2089850,729327,300001,103162,45464,8323,2001,1045
2009,2159150,679790,310713,129290,41080,16968,3011,1059
2010,1998580,702304,287911,131127,51185,15225,6063,1410
2011,2149030,650061,297124,120060,51014,18897,5405,2574
2012,2874010,698970,274572,122358,44394,17339,6094,2450
2013,2979990,934474,293660,109729,41182,12522,4349,1948
2014,2106480,969212,395132,122725,41250,13611,3733,1737
2015,1958780,685034,408534,164187,46152,13667,4035,1470
2016,1163550,637004,288226,168487,61587,15379,4088,1488
2017,1259680,378506,269355,121720,67064,22863,5358,1829
2018,500078,409775,160160,114553,49283,25660,8360,2522
2019,1397720,162699,173748,69136,48184,20017,10159,4236
