Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1946,0.001,0.029,0.166,0.327,0.423,0.468,0.486,0.493,0.495,0.495,0.495,0.495,0.495,0.501
1947,0.001,0.037,0.214,0.422,0.546,0.604,0.627,0.636,0.639,0.639,0.639,0.639,0.639,0.645
1948,0.001,0.044,0.244,0.476,0.615,0.679,0.705,0.715,0.718,0.718,0.718,0.718,0.718,0.724
1949,0.001,0.043,0.238,0.462,0.595,0.657,0.682,0.691,0.694,0.695,0.695,0.695,0.695,0.7
1950,0.001,0.045,0.248,0.483,0.622,0.687,0.713,0.723,0.726,0.727,0.727,0.727,0.727,0.732
1951,0.001,0.045,0.249,0.486,0.626,0.691,0.718,0.728,0.731,0.731,0.732,0.732,0.732,0.736
1952,0.001,0.051,0.28,0.542,0.698,0.77,0.799,0.81,0.813,0.814,0.814,0.814,0.814,0.819
1953,0.001,0.037,0.205,0.398,0.513,0.566,0.587,0.595,0.598,0.598,0.598,0.598,0.598,0.603
1954,0.001,0.041,0.223,0.431,0.554,0.611,0.634,0.643,0.645,0.646,0.646,0.646,0.646,0.652
1955,0.001,0.037,0.205,0.398,0.514,0.567,0.589,0.597,0.599,0.6,0.6,0.6,0.6,0.606
1956,0.001,0.046,0.255,0.496,0.64,0.706,0.733,0.743,0.746,0.746,0.747,0.747,0.747,0.753
1957,0.002,0.059,0.316,0.609,0.782,0.862,0.895,0.907,0.91,0.911,0.912,0.912,0.912,0.919
1958,0.001,0.051,0.274,0.527,0.677,0.746,0.774,0.785,0.788,0.789,0.789,0.789,0.789,0.795
1959,0.002,0.054,0.295,0.568,0.73,0.805,0.836,0.847,0.851,0.851,0.852,0.852,0.852,0.857
1960,0.002,0.071,0.387,0.746,0.958,1.057,1.097,1.111,1.116,1.117,1.117,1.117,1.117,1.122
1961,0.002,0.056,0.31,0.602,0.776,0.856,0.889,0.901,0.904,0.905,0.905,0.905,0.905,0.911
1962,0.002,0.057,0.311,0.604,0.778,0.859,0.891,0.903,0.907,0.908,0.908,0.908,0.908,0.914
1963,0.002,0.061,0.336,0.65,0.837,0.923,0.959,0.971,0.975,0.976,0.977,0.977,0.977,0.982
1964,0.001,0.046,0.255,0.498,0.642,0.709,0.736,0.746,0.75,0.75,0.75,0.75,0.75,0.756
1965,0.001,0.044,0.248,0.486,0.628,0.693,0.72,0.73,0.733,0.734,0.734,0.734,0.734,0.739
1966,0.002,0.066,0.374,0.731,0.943,1.042,1.082,1.096,1.101,1.102,1.102,1.102,1.102,1.108
1967,0.002,0.064,0.36,0.702,0.906,1.001,1.04,1.054,1.058,1.059,1.059,1.059,1.059,1.066
