Year,1,2,3,4,5,6,7,8
1946,776,8119,14166,5790,3034,1556,632,762
1947,550,17126,27764,14553,3744,1735,858,756
1948,963,11023,50653,23579,7507,1675,743,677
1949,1133,15768,27259,36423,10231,2809,598,495
1950,1196,19403,41379,21059,17078,4147,1087,413
1951,942,19956,49218,30565,9367,6539,1513,533
1952,870,17689,55474,39195,14537,3821,2538,772
1953,729,10402,32751,30363,12890,4101,1025,863
1954,1159,12979,28470,27126,15656,5829,1781,800
1955,1003,17161,30372,20351,12042,6077,2170,938
1956,771,20785,53924,28300,11683,6033,2919,1456
1957,826,15852,62052,45563,14158,4990,2448,1724
1958,1096,11459,33000,36949,15813,4144,1378,1116
1959,960,18674,29520,24703,16442,6005,1493,874
1960,1398,20121,56604,24726,11900,6645,2287,873
1961,993,17828,38387,29452,7135,2812,1464,670
1962,1031,16369,43342,25905,11429,2321,862,633
1963,1208,18212,42171,30719,10502,3875,741,461
1964,1415,14831,34234,22431,9404,2690,934,280
1965,1749,22739,36610,24516,9622,3461,943,413
1966,2315,44426,83150,36627,14283,4750,1620,615
1967,2159,37302,102573,49997,11994,3803,1176,532
1968,2087,37522,91823,65890,17602,3449,1019,440
1969,1642,34081,87615,56433,22167,4827,880,358
1970,1726,26400,78405,53447,18925,6073,1232,304
1971,1935,25109,56362,45432,17243,5018,1503,366
1972,2262,28136,54916,34344,15789,4992,1365,491
1973,2318,31807,60526,33502,12200,4730,1413,508
1974,1174,31144,65315,36128,12009,3757,1387,547
1975,1064,20485,83007,51699,17656,5133,1542,774
1976,1250,15869,51267,63931,24768,7403,2066,910
1977,2262,18887,36221,34254,26477,8996,2585,1014
1978,2010,38283,44145,24973,15011,10354,3404,1334
1979,1174,33408,105042,40538,15224,8287,5554,2496
1980,2713,26267,106116,104314,26069,8782,4625,4405
1981,2196,39481,62790,83642,53104,11783,3822,3848
1982,1592,39580,100411,47429,39533,22095,4715,3005
1983,926,26366,102505,79833,23742,17487,9413,3223
1984,969,19898,85784,101888,49844,13021,9213,6506
1985,1137,18681,55923,66660,46628,19466,4836,5670
1986,1708,20646,52545,44261,30887,18309,7246,3796
1987,1147,33461,58828,39358,18705,10868,6067,3540
1988,776,21510,89670,40470,14988,5871,3197,2726
1989,759,13711,54538,59458,14915,4557,1671,1625
1990,731,16181,37961,39378,23930,4943,1410,984
1991,1058,10970,40397,25435,14215,6930,1321,613
1992,1029,10817,15773,14949,5022,2233,998,266
1993,495,11787,21630,8972,4952,1401,584,319
1994,524,11720,43792,29750,7654,3633,972,606
1995,803,10931,29309,32092,13957,3038,1350,564
1996,615,13223,33020,29243,20293,7778,1588,964
1997,1208,8478,30700,22498,10956,6208,2206,687
1998,1487,16223,20516,20354,7772,2902,1476,652
1999,1271,16488,41477,17560,8839,2490,807,551
2000,1015,20636,48845,34710,7147,2474,584,287
2001,1338,14151,49188,33048,12013,1769,505,158
2002,686,14172,27188,25915,9090,2458,306,102
2003,798,8633,35361,22456,11640,3172,755,115
2004,1512,9991,22454,29342,10334,4014,952,239
2005,1286,17987,22467,15409,10766,2862,946,255
2006,911,11595,43327,21725,8758,4758,1112,429
2007,699,7933,24776,30801,8971,2752,1291,381
2008,661,7802,21526,19470,13148,2945,781,434
2009,702,8547,24098,23027,11258,5746,1126,425
2010,654,8048,22222,22854,13129,4865,2161,541
2011,758,7334,23348,22968,14424,6549,2106,1083
2012,1396,9215,25108,28640,16021,7680,3009,1318
2013,1098,8306,18114,18593,11560,4564,1814,899
2014,883,9718,24215,19771,11049,4816,1544,806
2015,823,7287,26194,26219,12057,4729,1648,684
2016,334,4698,13837,20611,12297,4109,1311,553
2017,361,2469,11157,13148,11877,5379,1514,604
2018,111,2163,5086,9594,6941,4856,1905,677
