Year,1,2,3,4,5,6,7,8,9,10+
1978,0.3048,0.9566,1.7695,2.777,2.8866,5.1593,5.4354,7.8834,9.0644,14.0744
1979,0.3866,0.8281,1.5285,3.1251,4.0109,5.2565,7.6079,8.2732,9.1521,14.0065
1980,0.3673,0.9055,1.8061,2.5954,4.7801,5.7141,7.6426,9.4851,9.7511,14.0451
1981,0.403,0.9004,1.7866,2.8614,4.081,6.2448,7.5589,8.8461,11.5989,17.096
1982,0.4358,0.9129,1.8687,2.8914,4.2008,5.6315,8.0441,9.1448,10.9339,15.6291
1983,0.4461,0.9569,1.8036,2.8699,4.1665,5.7176,7.3979,9.8044,10.6807,15.5762
1984,0.4576,1.0108,1.8692,2.9437,4.0841,5.5548,7.374,9.0704,10.7499,14.0524
1985,0.5138,0.9323,1.7546,3.0181,4.2271,5.5839,7.2158,9.2882,10.7579,13.9359
1986,0.4943,0.9941,1.7827,2.651,4.4526,5.8309,7.3113,8.9014,11.2299,14.2689
1987,0.4609,1.0023,1.8353,3.1007,4.4038,6.382,7.7757,9.203,10.6012,15.0424
1988,0.3422,0.9714,1.7981,2.8454,4.551,6.1198,8.1159,9.3412,10.6247,14.488
1989,0.2821,0.9038,1.7347,2.8634,4.1052,5.733,7.1453,9.129,10.4303,13.526
1990,0.3133,0.86,1.8712,2.7158,4.1602,5.5872,7.1845,9.0993,10.3944,13.525
1991,0.5748,0.8852,1.919,2.8526,4.0224,5.2684,6.789,8.7547,10.5554,14.4293
1992,0.6044,1.0401,1.855,3.0336,3.8909,5.3099,6.3741,8.1504,10.3556,15.7121
1993,0.2012,1.0266,1.7347,2.6707,4.2804,5.0529,6.5803,7.761,9.7092,14.3095
1994,0.1575,0.6652,1.6656,2.7093,3.7594,5.7903,6.1439,7.9178,8.7052,15.7281
1995,0.1564,0.6608,1.5358,2.736,4.1309,5.3755,7.5832,8.7756,10.2014,18.9171
1996,0.3077,0.6676,1.773,2.4766,4.1639,5.6477,6.9847,8.934,11.3789,10.8441
1997,0.2577,0.859,1.7745,2.7812,3.51,5.1528,7.0073,7.6875,10.4119,11.7344
1998,0.3506,0.7995,1.7774,2.7649,3.841,4.6068,6.5813,7.6632,9.2023,13.5989
1999,0.2433,0.8661,1.7214,2.6761,3.8543,5.0577,5.9993,8.0562,8.9291,13.9853
2000,0.3191,0.836,1.7908,2.6553,3.8212,4.8583,6.3362,7.3264,8.3444,13.254
2001,0.3379,0.8514,1.8389,2.6324,3.7159,4.9193,5.7007,7.399,8.5923,11.5319
2002,0.2479,0.8862,1.7091,2.538,3.408,4.6124,5.9175,7.0272,8.5539,11.5002
2003,0.167,0.8613,1.7953,2.4601,3.3729,4.2986,5.4659,6.746,8.2242,10.1391
2004,0.0963,0.7593,1.9617,2.6385,3.3308,4.3003,5.1223,6.5429,7.8459,11.2934
2005,0.1294,0.4293,1.819,2.6579,3.4776,4.1748,5.0532,6.7156,8.0512,11.3806
2006,0.1297,0.5481,1.4055,2.5173,3.2717,4.1987,5.3964,5.8277,7.7064,9.0013
2007,0.1122,0.6703,1.5414,2.4741,3.3031,3.8488,5.1184,6.685,6.6114,8.6937
2008,0.3346,0.6815,1.8927,2.4415,3.2005,4.3555,4.8198,6.8698,7.5365,10.2684
2009,0.3508,0.8636,1.8974,2.7881,3.3172,4.11,5.7415,6.1416,8.7314,11.4192
2010,0.1986,0.8026,1.7502,2.4822,3.4761,3.8224,4.7009,6.0012,6.3982,12.2702
2011,0.1112,0.6703,1.667,2.5482,3.223,4.0777,4.2376,5.2278,8.1584,14.1104
