Year	0	1	2	3	4	5	6	7	8	9+
1982	0.002	0.241	0.594	1.165	2.127	4.635	7.622	9.289	9.695	15.664
1983	0.008	0.05	0.501	1.114	1.894	3.136	5.539	6.549	9.962	13.325
1984	0	0.075	0.372	1.019	2.021	2.952	4.593	7.118	7.845	14.828
1985	0.015	0.014	0.403	0.91	2.013	3.532	4.608	6.863	9.7	13.676
1986	0.001	0.104	0.316	1.077	1.917	3.67	5.504	6.908	9.315	14.646
1987	0.001	0.028	0.406	0.777	2.273	3.574	5.889	8.079	9.487	14.582
1988	0	0.022	0.293	0.98	1.709	4.01	4.927	6.705	10.069	12.993
1989	0.022	0.027	0.292	0.887	2.179	3.172	5.578	6.945	8.799	20.913
1990	0.006	0.095	0.431	0.937	1.742	3.627	5.75	8.043	10.44	18.718
1991	0.007	0.071	0.45	1.083	1.689	2.846	5.654	8.972	11.518	14.06
1992	0.012	0.028	0.476	1.215	2.026	2.564	4.629	8.832	10.453	14.483
1993	0.012	0.046	0.191	1.254	1.702	3.449	4.083	7.388	12.219	15.708
1994	0.01	0.038	0.236	1.003	2.244	2.571	5.294	6.601	11.095	11.846
1995	0.012	0.051	0.275	0.946	2.021	3.934	4.722	8.526	10.045	22.443
1996	0.022	0.06	0.356	1.462	1.784	2.971	6.185	8.967	12.844	16.357
1997	0.005	0.049	0.391	1.466	2.407	2.571	3.973	8.245	11.94	16.938
1998	0.002	0.059	0.256	1.445	2.245	3.423	3.558	5.739	10.442	16.676
1999	0.022	0.044	0.343	1.196	2.237	3.139	4.752	5.301	8.351	12.279
2000	0.009	0.12	0.461	1.063	2.257	3.422	4.773	5.508	7.882	12.661
2001	0.023	0.097	0.456	1.305	2.42	3.851	5.091	6.513	6.912	9.538
2002	0.012	0.089	0.465	1.05	2.249	3.247	5.296	6.514	7.924	12.152
2003	0.022	0.089	0.346	1.053	1.742	2.977	4.118	6.837	8.011	12.023
2004	0.01	0.066	0.357	0.95	2.074	2.634	4.264	5.971	8.655	13.758
2005	0.008	0.061	0.243	0.832	1.613	3.279	3.871	5.869	7.681	12.474
2006	0.047	0.09	0.3	0.795	1.885	2.468	4.089	4.959	6.816	12.361
2007	0.009	0.128	0.447	0.909	1.754	3.008	3.767	5.18	6.578	13.295
2008	0.049	0.085	0.405	1.093	1.867	2.869	3.92	5.277	6.33	12.711
2009	0.013	0.173	0.477	1.212	2.262	2.896	3.679	5.186	7.048	13.813
2010	0.006	0.099	0.553	1.143	2.34	3.251	3.762	4.7	7.331	11.892
2011	0.043	0.086	0.46	1.257	1.92	3.206	4.095	4.765	5.531	12.957
2012	0	0.156	0.485	1.114	2.048	2.657	3.796	4.848	5.329	9.895
2013	0.018	0.02	0.466	1.085	1.854	2.735	3.144	4.565	5.984	11.143
2014	0.022	0.137	0.617	1.037	1.657	2.247	3.235	3.506	5.79	8.56
2015	0.017	0.105	0.478	1.172	1.799	2.561	2.957	4.212	5.449	13.956
2016	0.001	0.075	0.364	0.877	1.79	2.458	4.057	4.114	5.693	10.168
