Year,0,1,2,3,4,5,6+
1968,0.1,0.61,1.66,3.33,5.09,6.19,6.86
1969,0.1,0.61,1.66,3.33,5.09,6.19,7.26
1970,0.1,0.61,1.66,3.33,5.09,6.19,7.17
1971,0.1,0.61,1.66,3.33,5.09,6.19,7.12
1972,0.1,0.61,1.66,3.33,5.09,6.19,7.28
1973,0.1,0.61,1.66,3.33,5.09,6.19,7.16
1974,0.1,0.61,1.66,3.33,5.09,6.19,7.34
1975,0.1,0.61,1.66,3.33,5.09,6.19,7.05
1976,0.1,0.61,1.66,3.33,5.09,6.19,7.13
1977,0.1,0.61,1.66,3.33,5.09,6.19,7.63
1978,0.1,0.61,1.66,3.33,5.09,6.19,7.19
1979,0.1,0.61,1.66,3.33,5.09,6.19,7.48
1980,0.1,0.61,1.66,3.33,5.09,6.19,6.87
1981,0.1,0.61,1.66,3.33,5.09,6.19,7.55
1982,0.1,1.01,1.52,3.49,5.57,7.59,9.11
1983,0.1,1,1.84,3.99,5.96,7.97,9.97
1984,0.1,0.68,1.81,3.81,5.87,7.48,10.05
1985,0.1,0.78,2.02,4.24,5.83,7.5,9.04
1986,0.1,0.81,1.83,3.86,5.86,7.39,8.78
1987,0.1,0.71,2.16,3.91,6.41,7.82,10.32
1988,0.1,0.61,1.56,3.76,5.67,8.02,9.88
1989,0.1,0.94,1.85,3.22,5.41,6.57,9.47
1990,0.1,0.84,1.94,3.57,5.28,7.53,9.4
1991,0.1,0.86,1.64,3.54,5.42,6.39,9.11
1992,0.1,0.81,1.96,3.99,5.98,6.92,8.67
1993,0.1,0.85,1.71,3.67,5.68,7.37,10.17
1994,0.1,0.8,1.92,3.61,6.08,7.68,8.57
1995,0.1,0.9,1.84,4,5.79,8.45,9.14
1996,0.1,0.98,1.63,3.26,5.3,7.72,9.79
1997,0.1,0.85,1.94,3.62,5.29,6.12,9.4
1998,0.1,0.93,1.65,3.73,5.37,7.03,9.35
1999,0.1,0.85,1.62,3.18,5.51,7.52,10.25
2000,0.1,0.85,1.99,3.57,5.14,7.15,8.39
2001,0.1,0.99,1.82,4.15,5.61,7.33,9.51
2002,0.1,0.94,1.84,3.44,5.73,7.71,10.01
2003,0.1,1.21,1.66,3.29,5.43,10.2,11.09
2004,0.1,1.11,2.2,3.63,6.51,7.64,8.61
2005,0.1,0.91,1.94,3.51,5.32,7.74,8.89
2006,0.1,0.83,1.84,3.67,4.71,6.39,7.84
2007,0.1,0.83,1.85,3.78,5.35,7.99,10.04
2008,0.1,0.89,1.59,3.54,6,7.57,9.46
2009,0.1,1.1,2.01,3.46,5.31,7.1,6.82
2010,0.1,1.26,2.29,3.93,6.34,7.33,9.64
2011,0.1,0.949,1.88,3.745,5.536,6.754,9.036
2012,0.1,0.93,1.88,3.37,5.34,7.6,8.56
2013,0.1,0.97,2.32,4.06,5.54,7.43,10.79
2014,0.1,0.88,2.26,4.49,7,8.75,9.41
2015,0.1,0.83,1.79,3.69,6.49,8.55,9.95
2016,0.1,0.95,1.58,3.1,5.01,10.66,8.136
2017,0.1,0.70,1.82,3.82,5.85,7.62,9.74
