Year,1,2,3,4,5,6,7,8,9,10
1959,0,0.227,0.465,0.494,0.537,0.523,0.573,0.573,0.573,0.573
1960,0,0.295,0.609,0.655,0.723,0.725,0.805,0.805,0.805,0.805
1961,0,0.253,0.525,0.579,0.656,0.672,0.75,0.75,0.75,0.75
1962,0,0.217,0.456,0.517,0.593,0.608,0.665,0.665,0.665,0.665
1963,0,0.178,0.386,0.453,0.525,0.549,0.603,0.603,0.603,0.603
1964,0,0.146,0.334,0.415,0.502,0.551,0.624,0.624,0.624,0.624
1965,0,0.129,0.31,0.402,0.5,0.568,0.657,0.657,0.657,0.657
1966,0,0.11,0.277,0.375,0.484,0.581,0.707,0.707,0.707,0.707
1967,0,0.099,0.261,0.36,0.462,0.558,0.678,0.678,0.678,0.678
1968,0,0.094,0.258,0.361,0.453,0.535,0.631,0.631,0.631,0.631
1969,0,0.093,0.267,0.381,0.48,0.577,0.691,0.691,0.691,0.691
1970,0,0.071,0.212,0.308,0.388,0.475,0.571,0.571,0.571,0.571
1971,0,0.063,0.196,0.292,0.376,0.474,0.577,0.577,0.577,0.577
1972,0,0.059,0.187,0.277,0.346,0.426,0.51,0.51,0.51,0.51
1973,0,0.063,0.203,0.299,0.365,0.438,0.536,0.536,0.536,0.536
1974,0,0.061,0.2,0.299,0.371,0.449,0.565,0.565,0.565,0.565
1975,0,0.072,0.249,0.382,0.473,0.566,0.726,0.726,0.726,0.726
1976,0,0.077,0.279,0.452,0.586,0.723,0.978,0.978,0.978,0.978
1977,0,0.071,0.274,0.453,0.578,0.689,0.894,0.894,0.894,0.894
1978,0,0.061,0.243,0.398,0.495,0.581,0.745,0.745,0.745,0.745
1979,0,0.06,0.249,0.403,0.488,0.562,0.703,0.703,0.703,0.703
1980,0,0.056,0.234,0.37,0.434,0.488,0.592,0.592,0.592,0.592
1981,0,0.06,0.257,0.407,0.477,0.541,0.664,0.664,0.664,0.664
1982,0,0.061,0.267,0.425,0.497,0.568,0.705,0.705,0.705,0.705
1983,0,0.079,0.36,0.578,0.669,0.753,0.905,0.905,0.905,0.905
1984,0,0.069,0.313,0.504,0.57,0.629,0.736,0.736,0.736,0.736
1985,0,0.072,0.347,0.596,0.71,0.837,1.024,1.024,1.024,1.024
1986,0,0.06,0.301,0.533,0.633,0.746,0.9,0.9,0.9,0.9
1987,0,0.054,0.267,0.472,0.552,0.649,0.788,0.788,0.788,0.788
1988,0,0.069,0.332,0.59,0.681,0.793,0.949,0.949,0.949,0.949
1989,0,0.082,0.385,0.687,0.789,0.899,1.045,1.045,1.045,1.045
1990,0,0.067,0.313,0.58,0.688,0.796,0.944,0.944,0.944,0.944
1991,0,0.049,0.228,0.434,0.527,0.619,0.746,0.746,0.746,0.746
1992,0,0.039,0.178,0.343,0.427,0.513,0.638,0.638,0.638,0.638
1993,0,0.031,0.136,0.257,0.318,0.381,0.486,0.486,0.486,0.486
1994,0,0.032,0.135,0.245,0.296,0.349,0.447,0.447,0.447,0.447
1995,0,0.044,0.18,0.324,0.395,0.477,0.628,0.628,0.628,0.628
1996,0,0.057,0.237,0.447,0.602,0.797,1.131,1.131,1.131,1.131
1997,0,0.069,0.277,0.514,0.724,1.019,1.538,1.538,1.538,1.538
1998,0,0.076,0.284,0.488,0.66,0.919,1.406,1.406,1.406,1.406
1999,0,0.086,0.3,0.481,0.62,0.846,1.307,1.307,1.307,1.307
2000,0,0.078,0.26,0.38,0.453,0.579,0.846,0.846,0.846,0.846
2001,0,0.09,0.296,0.428,0.509,0.655,0.953,0.953,0.953,0.953
2002,0,0.118,0.4,0.594,0.738,0.956,1.338,1.338,1.338,1.338
2003,0,0.101,0.35,0.53,0.682,0.89,1.194,1.194,1.194,1.194
2004,0,0.074,0.268,0.422,0.576,0.798,1.1,1.1,1.1,1.1
2005,0,0.093,0.328,0.492,0.645,0.873,1.174,1.174,1.174,1.174
2006,0,0.104,0.355,0.498,0.616,0.787,0.988,0.988,0.988,0.988
2007,0,0.093,0.316,0.429,0.508,0.631,0.782,0.782,0.782,0.782
2008,0,0.091,0.314,0.433,0.515,0.654,0.843,0.843,0.843,0.843
2009,0,0.102,0.356,0.479,0.553,0.672,0.824,0.824,0.824,0.824
2010,0,0.114,0.415,0.578,0.697,0.877,1.081,1.081,1.081,1.081
2011,0,0.079,0.298,0.426,0.519,0.654,0.79,0.79,0.79,0.79
2012,0,0.076,0.304,0.464,0.608,0.821,1.051,1.051,1.051,1.051
2013,0,0.048,0.196,0.304,0.398,0.532,0.678,0.678,0.678,0.678
2014,0,0.049,0.197,0.302,0.384,0.487,0.581,0.581,0.581,0.581
2015,0,0.054,0.223,0.35,0.463,0.629,0.794,0.794,0.794,0.794
2016,0,0.038,0.157,0.248,0.332,0.469,0.602,0.602,0.602,0.602
2017,0,0.026,0.109,0.175,0.24,0.349,0.461,0.461,0.461,0.461
2018,0,0.026,0.107,0.172,0.236,0.342,0.451,0.451,0.451,0.451
