Year,1,2,3,4,5,6,7,8,9,10+
1959,0.00,0.18,0.64,0.87,0.95,0.99,0.99,0.99,1.00,1.00
1960,0.00,0.18,0.64,0.87,0.95,0.99,0.99,0.99,1.00,1.00
1961,0.00,0.18,0.64,0.87,0.95,0.99,0.99,0.99,1.00,1.00
1962,0.00,0.18,0.64,0.87,0.95,0.99,0.99,0.99,1.00,1.00
1963,0.00,0.18,0.64,0.87,0.95,0.99,0.99,0.99,1.00,1.00
1964,0.00,0.18,0.64,0.87,0.95,0.99,0.99,0.99,1.00,1.00
1965,0.00,0.18,0.64,0.87,0.95,0.99,0.99,0.99,1.00,1.00
1966,0.00,0.18,0.64,0.87,0.95,0.99,0.99,0.99,1.00,1.00
1967,0.00,0.18,0.64,0.87,0.95,0.99,0.99,0.99,1.00,1.00
1968,0.00,0.18,0.64,0.87,0.95,0.99,0.99,0.99,1.00,1.00
1969,0.00,0.18,0.64,0.87,0.95,0.99,0.99,0.99,1.00,1.00
1970,0.00,0.18,0.64,0.87,0.95,0.99,0.99,0.99,1.00,1.00
1971,0.00,0.18,0.64,0.87,0.95,0.99,0.99,0.99,1.00,1.00
1972,0.00,0.18,0.64,0.87,0.95,0.99,0.99,0.99,1.00,1.00
1973,0.00,0.18,0.64,0.87,0.95,0.99,0.99,0.99,1.00,1.00
1974,0.00,0.18,0.64,0.87,0.95,0.99,0.99,0.99,1.00,1.00
1975,0.00,0.18,0.64,0.87,0.95,0.99,0.99,0.99,1.00,1.00
1976,0.00,0.18,0.64,0.87,0.95,0.99,0.99,0.99,1.00,1.00
1977,0.00,0.18,0.64,0.87,0.95,0.99,0.99,0.99,1.00,1.00
1978,0.00,0.18,0.64,0.87,0.95,0.99,0.99,0.99,1.00,1.00
1979,0.00,0.18,0.64,0.87,0.95,0.99,0.99,0.99,1.00,1.00
1980,0.00,0.18,0.64,0.87,0.95,0.99,0.99,0.99,1.00,1.00
1981,0.00,0.18,0.64,0.87,0.95,0.99,0.99,0.99,1.00,1.00
1982,0.00,0.18,0.64,0.87,0.95,0.99,0.99,0.99,1.00,1.00
1983,0.00,0.03,0.71,0.93,0.94,1.00,1.00,1.00,1.00,1.00
1984,0.00,0.07,0.96,0.98,0.97,1.00,1.00,1.00,1.00,1.00
1985,0.00,0.00,0.50,0.96,0.96,1.00,1.00,1.00,1.00,1.00
1986,0.00,0.00,0.38,0.93,1.00,1.00,0.96,0.94,1.00,1.00
1987,0.00,0.00,0.67,0.91,1.00,1.00,1.00,1.00,1.00,1.00
1988,0.00,0.06,0.72,0.90,0.97,1.00,1.00,1.00,1.00,1.00
1989,0.00,0.05,0.54,0.98,1.00,1.00,1.00,1.00,1.00,1.00
1990,0.00,0.00,0.68,0.90,0.99,0.96,0.98,1.00,1.00,1.00
1991,0.00,0.00,0.72,0.86,1.00,1.00,1.00,1.00,1.00,1.00
1992,0.00,0.06,0.50,0.82,0.98,1.00,1.00,1.00,1.00,1.00
1993,0.00,0.03,0.73,0.78,0.91,0.99,1.00,1.00,1.00,1.00
1994,0.00,0.05,0.33,0.88,0.96,1.00,0.96,1.00,1.00,1.00
1995,0.00,0.09,0.35,0.33,0.66,0.97,1.00,1.00,1.00,1.00
1996,0.00,0.04,0.43,0.74,0.85,0.94,1.00,1.00,1.00,1.00
1997,0.00,0.00,0.64,0.91,0.97,1.00,1.00,1.00,1.00,1.00
1998,0.00,0.00,0.62,0.90,0.99,0.99,1.00,1.00,1.00,1.00
1999,0.00,0.02,0.43,0.88,0.98,1.00,1.00,1.00,1.00,1.00
2000,0.00,0.02,0.39,0.69,0.92,0.99,1.00,1.00,1.00,1.00
2001,0.00,0.07,0.47,0.86,0.94,1.00,1.00,1.00,1.00,1.00
2002,0.00,0.04,0.37,0.76,0.97,0.93,0.97,1.00,1.00,1.00
2003,0.00,0.00,0.29,0.79,0.88,0.98,1.00,1.00,1.00,1.00
2004,0.00,0.00,0.51,0.78,0.92,0.89,0.87,1.00,1.00,1.00
2005,0.00,0.05,0.66,0.90,0.93,0.98,0.92,1.00,1.00,1.00
2006,0.00,0.04,0.59,0.80,0.99,0.99,1.00,1.00,1.00,1.00
2007,0.00,0.00,0.47,0.78,0.91,0.99,0.97,1.00,1.00,1.00
2008,0.00,0.10,0.78,0.91,0.90,0.95,1.00,1.00,1.00,1.00
2009,0.00,0.09,0.61,0.81,0.96,0.94,0.96,1.00,1.00,1.00
2010,0.00,0.08,0.61,0.77,0.94,0.97,1.00,1.00,1.00,1.00
2011,0.00,0.06,0.51,0.69,0.84,0.93,0.98,1.00,1.00,1.00
2012,0.00,0.00,0.63,0.85,0.94,0.97,1.00,1.00,1.00,0.83
2013,0.00,0.24,0.82,0.95,0.98,1.00,1.00,1.00,1.00,1.00
2014,0.00,0.24,0.73,0.98,1.00,1.00,1.00,1.00,1.00,1.00
2015,0.00,0.28,0.48,0.70,0.95,0.97,1.00,1.00,1.00,1.00
2016,0.00,0.21,0.89,0.91,0.97,1.00,1.00,1.00,1.00,1.00
2017,0.00,0.10,0.73,0.98,0.98,0.97,1.00,1.00,1.00,1.00
2018,0.00,0.14,0.64,0.78,0.94,0.95,0.91,0.92,1.00,1.00
