Cohort,0,1,2,3,4,5,6,7+
1994,0.005,0.063,0.259,0.896,1.901,3.12,5.158,6.995
1995,0.005,0.057,0.327,0.735,1.454,3.338,5.057,6.527
1996,0.005,0.05,0.316,0.801,1.676,3.181,4.097,7.175
1997,0.005,0.081,0.285,0.801,1.763,3.343,5.136,6.093
1998,0.005,0.042,0.234,0.895,1.72,3.654,4.195,6.833
1999,0.005,0.059,0.388,1.117,1.981,3.375,4.874,5.7
2000,0.005,0.043,0.433,1.032,1.504,3.377,4.215,6.331
2001,0.005,0.043,0.321,0.87,2.165,3.621,4.736,6.952
2002,0.005,0.054,0.536,1.038,2.298,3.03,4.354,4.977
2003,0.005,0.067,0.35,0.795,2.029,3.191,4.852,4.625
2004,0.005,0.051,0.31,0.908,2.105,3.081,3.45,2.177
2005,0.005,0.043,0.411,1.019,1.816,2.865,2.542,3.538
2006,0.005,0.073,0.465,1.327,1.514,1.618,2.558,3.536
2007,0.005,0.043,0.559,1.082,1.239,2.45,3.258,5.453
2008,0.005,0.051,0.369,0.767,1.868,2.134,5.547,6.9
2009,0.005,0.066,0.36,0.882,1.22,3.75,4.48,6.281
2010,0.005,0.045,0.301,0.866,2.59,4.433,4.836,5.402
2011,0.005,0.05,0.391,0.965,2.458,3.12,4.232,0
2012,0.005,0.049,0.345,0.924,2.377,3.519,0,0
2013,0.005,0.039,0.409,0.69,2.02,0,0,0
2014,0.005,0.055,0.341,1.022,0,0,0,0
2015,0.005,0.047,0.195,0,0,0,0,0
2016,0.005,0.031,0,0,0,0,0,0
2017,0.005,0,0,0,0,0,0,0
