year,0,1,2,3,4,5,6,7+
1994,0.005,0.063,0.301,0.874,2.369,4.322,6.189,5.582
1995,0.005,0.063,0.301,0.874,2.086,3.62,6.009,9.181
1996,0.005,0.057,0.259,0.99,2.033,2.872,5.494,6.699
1997,0.005,0.05,0.327,0.896,1.697,2.226,4.041,6.372
1998,0.005,0.081,0.316,0.735,1.901,2.95,3.938,6.408
1999,0.005,0.042,0.285,0.801,1.454,3.12,3.918,4.97
2000,0.005,0.059,0.234,0.801,1.676,3.338,5.158,7.22
2001,0.005,0.043,0.388,0.895,1.763,3.181,5.057,6.995
2002,0.005,0.043,0.433,1.117,1.72,3.343,4.097,6.527
2003,0.005,0.054,0.321,1.032,1.981,3.654,5.136,7.175
2004,0.005,0.067,0.536,0.87,1.504,3.375,4.195,6.093
2005,0.005,0.051,0.35,1.038,2.165,3.377,4.874,6.833
2006,0.005,0.043,0.31,0.795,2.298,3.621,4.215,5.7
2007,0.005,0.073,0.411,0.908,2.029,3.03,4.736,6.331
2008,0.005,0.043,0.465,1.019,2.105,3.191,4.354,6.952
2009,0.005,0.051,0.559,1.327,1.816,3.081,4.852,4.977
2010,0.005,0.066,0.369,1.082,1.514,2.865,3.45,4.625
2011,0.005,0.045,0.36,0.767,1.239,1.618,2.542,2.177
2012,0.005,0.05,0.301,0.882,1.868,2.45,2.558,3.538
2013,0.005,0.049,0.391,0.866,1.22,2.134,3.258,3.536
2014,0.005,0.039,0.345,0.965,2.59,3.75,5.547,5.453
2015,0.005,0.055,0.409,0.924,2.458,4.433,4.48,6.9
2016,0.005,0.047,0.341,0.69,2.377,3.12,4.836,6.281
2017,0.005,0.031,0.195,1.022,2.02,3.519,4.232,5.402
