Year,1,2,3,4,5,6,7+
1994,5005,7401,15838,2263,92,20,16
1995,4851,17678,5812,5670,1237,133,4
1996,23074,27282,18006,875,2090,111,3
1997,17798,2709,29690,2701,345,328,78
1998,19911,22553,2790,5946,683,108,77
1999,3541,33839,13461,1765,1246,248,93
2000,3992,11984,23470,3233,153,247,49
2001,3766,16106,7467,5140,824,48,90
2002,2436,11691,9128,1692,939,269,18
2003,1937,19085,5628,1471,250,198,67
2004,2932,3346,11977,1997,361,125,85
2005,1307,18005,2115,3305,351,92,50
2006,1214,4631,12876,612,602,78,15
2007,348,6566,3808,3939,472,222,35
2008,98,1502,3674,1098,921,258,128
2009,603,2410,2160,1218,549,198,85
2010,617,5928,1732,1054,477,142,72
2011,226,1533,4722,1568,373,82,42
2012,478,2658,1874,2709,589,63,15
2013,1266,2063,2855,1558,938,318,69
2014,1012,6351,1640,999,148,147,24
2015,547,2870,4719,534,259,35,63
2016,112,1995,2277,1293,194,62,37
2017,1101,421,1288,631,307,56,32
