Year,1,2,3,4,5,6+
1997,1456,2540,5137,891,222,88
1998,1499,3587,1595,1908,283,76
1999,1201,3859,3972,455,409,77
2000,1819,3942,2346,1027,125,103
2001,2166,2012,2034,703,187,45
2002,3190,2161,1062,391,85,40
2003,628,2441,650,184,65,16
2004,3547,1077,1195,206,65,39
2005,854,2169,121,167,21,12
2006,1406,1305,796,36,33,9
2007,668,1446,383,190,16,26
2008,175,191,136,40,33,7
2009,400,92,30,22,9,4
2010,433,361,33,8,4,2
2011,631,445,84,6,2,1
2012,889,231,30,13,2,0
2013,1068,533,49,12,3,1
2014,510,804,66,20,6,0
2015,239,144,167,56,15,6
2016,16,95,68,75,38,13
2017,1090,119,68,28,30,14
