Year,1,2,3,4,5,6,7,8+
1971,0.02,0.37,0.78,0.97,1.00,1.00,1.00,1.00
1972,0.02,0.37,0.78,0.97,1.00,1.00,1.00,1.00
1973,0.02,0.37,0.78,0.97,1.00,1.00,1.00,1.00
1974,0.02,0.37,0.78,0.97,1.00,1.00,1.00,1.00
1975,0.02,0.37,0.78,0.97,1.00,1.00,1.00,1.00
1976,0.02,0.37,0.78,0.97,1.00,1.00,1.00,1.00
1977,0.02,0.37,0.78,0.97,1.00,1.00,1.00,1.00
1978,0.02,0.37,0.78,0.97,1.00,1.00,1.00,1.00
1979,0.02,0.37,0.78,0.97,1.00,1.00,1.00,1.00
1980,0.02,0.37,0.78,0.97,1.00,1.00,1.00,1.00
1981,0.02,0.37,0.78,0.97,1.00,1.00,1.00,1.00
1982,0.02,0.37,0.78,0.97,1.00,1.00,1.00,1.00
1983,0.02,0.37,0.78,0.97,1.00,1.00,1.00,1.00
1984,0.02,0.37,0.78,0.97,1.00,1.00,1.00,1.00
1985,0.02,0.37,0.78,0.97,1.00,1.00,1.00,1.00
1986,0.02,0.37,0.78,0.97,1.00,1.00,1.00,1.00
1987,0.02,0.37,0.78,0.97,1.00,1.00,1.00,1.00
1988,0.02,0.37,0.78,0.97,1.00,1.00,1.00,1.00
1989,0.02,0.37,0.78,0.97,1.00,1.00,1.00,1.00
1990,0.02,0.61,0.62,0.99,0.93,1.00,1.00,1.00
1991,0.02,0.62,0.64,0.88,1.00,1.00,1.00,1.00
1992,0.07,0.51,0.99,1.00,1.00,1.00,1.00,1.00
1993,0.03,0.49,0.73,0.95,0.87,1.00,1.00,1.00
1994,0.01,0.60,0.96,1.00,1.00,1.00,1.00,1.00
1995,0.00,0.12,0.97,1.00,1.00,1.00,1.00,1.00
1996,0.00,0.29,0.57,0.95,1.00,1.00,1.00,1.00
1997,0.00,0.19,0.90,1.00,1.00,1.00,1.00,1.00
1998,0.00,0.38,0.65,1.00,1.00,1.00,1.00,1.00
1999,0.02,0.58,0.87,1.00,1.00,1.00,1.00,1.00
2000,0.02,0.42,0.92,1.00,1.00,1.00,1.00,1.00
2001,0.02,0.44,0.91,1.00,1.00,1.00,1.00,1.00
2002,0.00,0.57,0.92,0.99,1.00,1.00,1.00,1.00
2003,0.00,0.54,1.00,1.00,1.00,1.00,1.00,1.00
2004,0.00,0.74,0.86,1.00,1.00,1.00,1.00,1.00
2005,0.01,0.53,0.83,0.92,1.00,1.00,1.00,1.00
2006,0.00,0.59,0.81,1.00,1.00,1.00,1.00,1.00
2007,0.00,0.60,0.89,0.93,1.00,1.00,1.00,1.00
2008,0.00,0.35,1.00,1.00,1.00,1.00,1.00,1.00
2009,0.00,0.54,0.90,0.95,1.00,1.00,1.00,1.00
2010,0.00,0.48,0.94,1.00,1.00,1.00,1.00,1.00
2011,0.00,0.60,0.90,1.00,1.00,1.00,1.00,1.00
2012,0.00,0.49,0.87,0.92,1.00,1.00,1.00,1.00
2013,0.00,0.37,0.46,0.91,1.00,1.00,1.00,1.00
2014,0.00,0.37,0.59,0.83,1.00,1.00,1.00,1.00
2015,0.00,0.51,0.57,0.83,1.00,1.00,1.00,1.00
2016,0.00,0.59,0.72,0.82,1.00,1.00,1.00,1.00
2017,0.00,0.52,0.77,0.85,1.00,1.00,1.00,1.00
