Year,3,4,5,6,7,8,9,10,11,12,13,14
1955,0.04,0.17,0.25,0.27,0.3,0.3,0.28,0.33,0.33,0.31,0.33,0.33
1956,0.05,0.18,0.25,0.26,0.29,0.3,0.3,0.34,0.36,0.34,0.34,0.34
1957,0.08,0.21,0.27,0.27,0.3,0.33,0.33,0.36,0.37,0.33,0.3,0.3
1958,0.11,0.25,0.3,0.29,0.32,0.37,0.4,0.44,0.45,0.39,0.33,0.33
1959,0.09,0.23,0.28,0.26,0.3,0.34,0.35,0.4,0.38,0.32,0.23,0.23
1960,0.1,0.23,0.29,0.29,0.34,0.4,0.43,0.48,0.48,0.39,0.27,0.27
1961,0.09,0.23,0.26,0.26,0.33,0.4,0.42,0.46,0.44,0.35,0.23,0.23
1962,0.11,0.25,0.28,0.26,0.35,0.42,0.47,0.51,0.49,0.38,0.24,0.24
1963,0.13,0.28,0.33,0.31,0.38,0.49,0.59,0.65,0.63,0.46,0.29,0.29
1964,0.13,0.29,0.37,0.36,0.43,0.57,0.74,0.81,0.84,0.61,0.39,0.39
1965,0.12,0.28,0.38,0.4,0.47,0.6,0.74,0.85,0.88,0.65,0.43,0.43
1966,0.09,0.25,0.34,0.38,0.49,0.62,0.78,0.92,1.01,0.78,0.53,0.53
1967,0.08,0.23,0.3,0.34,0.48,0.61,0.75,0.88,0.93,0.72,0.46,0.46
1968,0.08,0.25,0.34,0.41,0.58,0.77,1.04,1.2,1.36,1.08,0.73,0.73
1969,0.06,0.23,0.32,0.35,0.5,0.61,0.72,0.84,0.87,0.71,0.44,0.44
1970,0.07,0.27,0.39,0.43,0.55,0.65,0.76,0.89,0.95,0.8,0.51,0.51
1971,0.09,0.31,0.48,0.53,0.62,0.72,0.8,0.96,1.03,0.87,0.57,0.57
1972,0.09,0.3,0.48,0.55,0.65,0.73,0.79,0.96,1.06,0.9,0.59,0.59
1973,0.12,0.32,0.49,0.56,0.67,0.75,0.8,0.95,1.04,0.89,0.58,0.58
1974,0.11,0.32,0.5,0.57,0.7,0.83,0.92,1.05,1.17,1.02,0.68,0.68
1975,0.11,0.31,0.5,0.6,0.72,0.88,1.02,1.12,1.24,1.08,0.75,0.75
1976,0.07,0.26,0.43,0.55,0.69,0.85,0.94,1.0,1.05,0.92,0.63,0.63
1977,0.03,0.2,0.33,0.43,0.61,0.72,0.72,0.73,0.69,0.61,0.39,0.39
1978,0.03,0.17,0.28,0.35,0.52,0.6,0.54,0.54,0.48,0.44,0.27,0.27
