Year,3,4,5,6,7,8,9,10,11,12,13,14
1955,0.827,1.307,2.157,3.617,4.638,5.657,6.635,6.168,8.746,8.829,10.086,14.584
1956,1.08,1.6,2.19,3.28,4.65,5.63,6.18,6.97,6.83,9.29,10.965,12.954
1957,1.14,1.71,2.52,3.2,4.56,5.96,7.17,7.26,8.3,8.29,10.35,13.174
1958,1.21,1.81,3.12,4.51,5.00,5.94,6.64,8.29,8.51,8.84,9.36,13.097
1959,1.11,1.95,2.93,4.52,5.52,6.17,6.61,7.13,8.51,8.67,9.98,11.276
1960,1.06,1.72,2.92,4.64,5.66,6.55,6.91,7.14,7.97,10.24,10.1,12.871
1961,1.02,1.67,2.7,4.33,5.53,6.31,6.93,7.31,7.5,8.51,9.84,14.55
1962,0.99,1.61,2.61,3.9,5.72,6.66,6.75,7.06,7.54,8.28,10.9,12.826
1963,1.25,1.65,2.64,3.8,5.11,6.92,7.84,7.61,8.23,9.1,9.92,11.553
1964,1.21,1.75,2.64,4.02,5.45,6.46,8.00,9.94,9.21,10.94,12.67,15.9
1965,1.02,1.53,2.57,4.09,5.41,6.4,7.12,8.6,12.31,10.46,10.19,17.22
1966,1.17,1.68,2.59,4.18,5.73,6.9,7.83,8.58,9.09,14.23,14.09,17.924
1967,1.12,1.82,2.66,4.067,5.56,7.79,7.84,8.43,9.09,10.09,14.24,16.412
1968,1.17,1.59,2.68,3.93,5.04,5.91,7.51,8.48,10.75,11.58,14.64,16.011
1969,1.1,1.81,2.48,3.77,5.04,5.86,7.00,8.35,8.72,10.08,11.43,13.144
1970,0.99,1.45,2.44,3.77,4.86,5.59,6.26,8.37,10.49,12.31,14.59,21.777
1971,1.09,1.57,2.31,2.98,4.93,5.15,5.58,6.3,8.53,11.24,14.74,17.13
1972,0.98,1.46,2.21,3.25,4.33,5.61,6.04,6.1,6.87,8.95,11.72,16.00
1973,1.03,1.42,2.47,3.6,4.9,6.11,6.67,6.75,7.43,7.95,10.17,17.00
1974,1.05,1.71,2.43,3.82,5.24,6.66,7.15,7.76,8.19,9.78,12.38,14.7
1975,1.1,1.77,2.78,3.76,5.45,6.69,7.57,8.58,8.81,9.78,10.09,11
1976,1.35,1.78,2.65,4.1,5.07,6.73,8.25,9.61,11.54,11.43,14.06,16.18
1977,1.259,1.911,2.856,4.069,5.777,6.636,7.685,9.73,11.703,14.394,17.456,24.116
1978,1.289,1.833,2.929,3.955,5.726,6.806,9.041,10.865,13.068,11.982,19.062,21.284
1979,1.408,1.956,2.642,3.999,5.548,6.754,8.299,9.312,13.13,13.418,13.54,20.072
1980,1.392,1.862,2.733,3.768,5.259,6.981,8.037,10.731,12.301,17.281,14.893,19.069
1981,1.18,1.651,2.26,3.293,4.483,5.821,7.739,9.422,11.374,12.784,12.514,19.069
