"RunBupdate_NoLC_Final_FixFall_000","N","RMSE"
"catch.fleet1",50,0.1487017
"catch.fleet2",50,0.06232651
"catch.tot",100,0.1140105
"discard.fleet1",0,0
"discard.fleet2",0,0
"discard.tot",0,0
"ind01",30,1.356715
"ind02",30,1.195946
"ind.total",60,1.278859
"N.year1",7,0.5456151
"Fmult.year1",0,0
"Fmult.devs.fleet1",0,0
"Fmult.devs.fleet2",0,0
"Fmult.devs.total",0,0
"recruit.devs",50,0.6947057
"fleet.sel.params",8,1.909404
"index.sel.params",0,0
"q.year1",0,0
"q.devs",0,0
"SR.steepness",0,0
"SR.scaler",0,0
