Year,1,2,3,4,5,6+
1963,0.010,0.050,0.230,0.620,0.860,1.000
1964,0.010,0.050,0.230,0.620,0.860,1.000
1965,0.010,0.050,0.230,0.620,0.860,1.000
1966,0.010,0.050,0.230,0.620,0.860,1.000
1967,0.010,0.050,0.230,0.620,0.860,1.000
1968,0.010,0.050,0.230,0.620,0.860,1.000
1969,0.010,0.050,0.230,0.620,0.860,1.000
1970,0.010,0.050,0.230,0.620,0.860,1.000
1971,0.010,0.050,0.230,0.620,0.860,1.000
1972,0.010,0.050,0.230,0.620,0.860,1.000
1973,0.006,0.052,0.237,0.644,0.881,1.000
1974,0.006,0.053,0.229,0.619,0.849,1.000
1975,0.006,0.054,0.223,0.595,0.817,1.000
1976,0.006,0.055,0.217,0.572,0.787,1.000
1977,0.006,0.056,0.213,0.550,0.758,1.000
1978,0.006,0.057,0.211,0.530,0.732,1.000
1979,0.006,0.057,0.210,0.513,0.711,1.000
1980,0.006,0.057,0.210,0.499,0.695,1.000
1981,0.006,0.058,0.212,0.489,0.684,1.000
1982,0.007,0.059,0.215,0.483,0.681,1.000
1983,0.007,0.061,0.220,0.484,0.683,1.000
1984,0.007,0.064,0.228,0.490,0.693,1.000
1985,0.007,0.068,0.242,0.502,0.707,1.000
1986,0.008,0.073,0.262,0.520,0.726,1.000
1987,0.008,0.080,0.288,0.544,0.748,1.000
1988,0.009,0.086,0.319,0.571,0.772,1.000
1989,0.009,0.093,0.353,0.602,0.796,1.000
1990,0.009,0.100,0.387,0.633,0.819,1.000
1991,0.010,0.106,0.418,0.664,0.841,1.000
1992,0.010,0.112,0.444,0.693,0.860,1.000
1993,0.011,0.118,0.462,0.719,0.877,1.000
1994,0.012,0.126,0.472,0.741,0.891,1.000
1995,0.013,0.135,0.476,0.758,0.903,1.000
1996,0.014,0.146,0.478,0.772,0.914,1.000
1997,0.015,0.161,0.480,0.783,0.922,1.000
1998,0.016,0.178,0.487,0.792,0.929,1.000
1999,0.017,0.198,0.501,0.799,0.935,1.000
2000,0.019,0.220,0.524,0.806,0.939,1.000
2001,0.020,0.242,0.556,0.813,0.943,1.000
2002,0.022,0.265,0.593,0.821,0.946,1.000
2003,0.024,0.286,0.634,0.829,0.949,1.000
2004,0.026,0.305,0.674,0.837,0.951,1.000
2005,0.029,0.321,0.709,0.845,0.952,1.000
2006,0.031,0.334,0.737,0.853,0.953,1.000
2007,0.033,0.344,0.755,0.861,0.954,1.000
2008,0.036,0.352,0.764,0.868,0.955,1.000
2009,0.039,0.357,0.763,0.873,0.955,1.000
2010,0.041,0.360,0.752,0.877,0.955,1.000
2011,0.044,0.361,0.735,0.878,0.954,1.000
2012,0.046,0.360,0.712,0.877,0.953,1.000
2013,0.049,0.357,0.684,0.873,0.951,1.000
2014,0.051,0.351,0.653,0.866,0.948,1.000
2015,0.054,0.344,0.620,0.857,0.946,1.000
2016,0.056,0.334,0.586,0.845,0.943,1.000
2017,0.058,0.324,0.551,0.832,0.939,1.000
