Year,3,4,5,6,7,8,9,10+
1976,0.036,0.276,0.519,0.809,1.025,0.322,0.410,0.410
1977,0.035,0.271,0.553,0.740,1.030,0.386,0.498,0.498
1978,0.032,0.302,0.560,0.598,0.787,0.441,0.483,0.483
1979,0.034,0.359,0.626,0.630,0.745,0.533,0.486,0.486
1980,0.038,0.437,0.675,0.678,0.883,0.601,0.608,0.608
1981,0.035,0.494,0.826,0.744,0.962,0.748,0.703,0.703
1982,0.037,0.543,0.794,0.971,1.044,0.714,0.967,0.967
1983,0.035,0.576,0.837,0.937,1.190,0.649,0.864,0.864
1984,0.035,0.645,0.783,0.901,0.965,0.584,0.686,0.686
1985,0.028,0.702,0.783,0.844,0.930,0.571,0.735,0.735
1986,0.031,0.645,0.905,0.945,0.805,0.541,0.832,0.832
1987,0.029,0.703,0.862,1.351,0.882,0.589,1.068,1.068
1988,0.020,0.618,0.900,1.137,1.058,0.556,0.989,0.989
1989,0.013,0.580,1.082,1.336,0.988,0.522,1.117,1.117
1990,0.012,0.648,1.246,1.768,0.979,0.608,0.976,0.976
1991,0.010,0.824,1.596,1.901,1.172,0.652,0.939,0.939
1992,0.008,0.919,2.111,1.784,1.102,0.767,0.929,0.929
1993,0.006,0.813,2.367,1.634,1.089,0.750,0.897,0.897
1994,0.005,0.789,1.842,1.360,1.081,0.706,0.675,0.675
1995,0.004,0.648,1.686,0.954,0.894,0.674,0.603,0.603
1996,0.004,0.563,1.387,0.762,0.819,0.587,0.539,0.539
1997,0.005,0.587,1.661,0.584,0.702,0.508,0.533,0.533
1998,0.008,0.577,2.214,0.432,0.634,0.440,0.528,0.528
1999,0.012,0.535,1.809,0.324,0.588,0.384,0.524,0.524
2000,0.015,0.496,1.547,0.357,0.557,0.340,0.526,0.526
2001,0.024,0.483,1.368,0.435,0.544,0.306,0.546,0.546
2002,0.040,0.566,1.179,0.530,0.555,0.279,0.599,0.599
2003,0.053,0.636,1.331,0.694,0.694,0.317,0.719,0.719
2004,0.074,0.781,1.483,0.776,0.702,0.315,0.649,0.649
2005,0.091,0.900,1.584,0.802,0.706,0.338,0.583,0.583
2006,0.094,0.865,1.522,0.719,0.729,0.358,0.543,0.543
2007,0.076,0.779,1.492,0.821,0.672,0.376,0.490,0.490
2008,0.058,0.595,1.450,0.922,0.626,0.350,0.466,0.466
2009,0.042,0.450,1.271,0.946,0.561,0.361,0.518,0.518
2010,0.028,0.342,1.092,1.118,0.642,0.465,0.692,0.692
2011,0.019,0.294,0.901,1.122,0.712,0.555,0.729,0.729
2012,0.014,0.238,0.727,1.001,0.742,0.550,0.816,0.816
2013,0.009,0.205,0.587,0.862,0.840,0.693,0.905,0.905
2014,0.006,0.169,0.545,0.773,0.824,0.855,1.092,1.092
2015,0.005,0.158,0.508,0.746,0.852,0.778,0.927,0.927
2016,0.005,0.158,0.522,0.741,0.891,0.751,0.877,0.877
2017,0.005,0.155,0.546,0.758,0.974,0.768,0.979,0.979
