Year,0,1,2,3,4,5,6,7,8,9+
1982,1.3,448.8,2926.5,2287.2,1430.7,748.8,65.9,94.1,72.6,90.1
1983,13.6,597.5,2462.0,2913.2,1201.6,704.0,452.7,50.0,62.5,56.2
1984,18.3,370.3,2129.6,1675.9,1643.6,437.5,219.6,105.6,9.5,53.4
1985,67.1,505.7,1944.3,2405.1,1151.8,738.1,161.4,107.2,48.4,33.2
1986,17.8,760.7,1747.0,2747.8,992.0,279.3,202.7,48.0,38.2,47.5
1987,100.7,281.8,2018.3,1568.3,1574.5,345.4,89.4,81.0,14.5,37.5
1988,3.4,415.1,1542.8,2086.6,1156.9,447.7,67.4,25.6,26.2,9.3
1989,0.0,166.4,1247.2,2385.1,1651.9,521.1,87.1,70.3,9.4,19.6
1990,0.0,65.5,812.5,5547.8,2717.6,541.4,189.1,29.7,36.4,43.3
1991,3.3,121.6,499.6,942.7,5561.3,1037.9,150.7,55.5,26.0,15.8
1992,23.8,370.3,830.1,867.6,502.1,2190.0,226.2,80.2,6.0,5.5
1993,26.6,105.9,512.3,2149.0,944.7,103.3,497.1,41.6,11.3,0.0
1994,11.7,124.0,201.9,1525.6,1294.2,266.3,66.2,74.2,28.7,7.9
1995,11.6,78.9,319.5,1321.8,1260.4,221.7,29.9,6.5,18.2,2.8
1996,22.1,37.5,111.6,627.7,2003.9,405.9,36.7,4.0,0.5,1.6
1997,1.5,69.1,137.5,519.6,467.8,869.2,72.5,5.5,2.3,1.0
1998,0.9,5.9,171.1,492.3,628.9,152.8,205.9,28.7,5.2,2.3
1999,0.1,73.9,90.9,347.8,336.6,172.3,53.7,59.5,12.4,1.1
2000,0.0,24.8,485.0,556.5,813.7,176.6,85.2,12.5,10.5,0.0
2001,0.0,0.6,394.0,1163.8,684.4,385.5,106.6,57.2,8.3,11.6
2002,0.0,16.8,41.6,374.9,912.6,323.8,163.5,66.4,28.1,20.3
2003,22.9,44.9,125.6,167.8,582.1,706.1,186.0,75.7,29.2,26.8
2004,0.2,149.4,105.9,609.3,259.7,407.4,251.6,68.4,33.0,27.4
2005,1.5,23.5,180.1,159.6,945.8,89.2,246.6,109.1,28.5,31.7
2006,0.2,19.2,59.1,426.6,290.1,461.7,30.3,79.7,39.0,27.3
2007,0.4,12.2,108.5,299.4,976.4,137.4,230.2,7.9,19.2,22.0
2008,0.4,12.2,130.5,598.4,707.4,780.5,86.4,110.6,4.0,16.6
2009,0.1,10.7,101.5,622.5,1093.3,477.9,304.8,20.9,30.5,9.6
2010,0.2,8.2,83.6,394.5,888.5,668.3,164.3,71.7,11.2,7.6
2011,0.7,8.7,60.5,322.2,589.6,573.9,339.9,34.9,38.4,9.4
