Year,1,2,3,4,5,6,7,8,9+
1982,0.04,0.24,0.60,0.71,0.73,0.73,0.73,0.73,0.73
1983,0.05,0.29,0.71,0.85,0.87,0.87,0.87,0.87,0.87
1984,0.04,0.26,0.63,0.76,0.78,0.78,0.78,0.78,0.78
1985,0.05,0.30,0.74,0.89,0.91,0.91,0.91,0.91,0.91
1986,0.04,0.27,0.68,0.81,0.83,0.83,0.83,0.83,0.83
1987,0.04,0.27,0.67,0.80,0.82,0.82,0.82,0.82,0.82
1988,0.03,0.20,0.51,0.61,0.62,0.62,0.62,0.62,0.62
1989,0.01,0.08,0.33,0.71,0.87,0.91,0.92,0.92,0.92
1990,0.02,0.10,0.41,0.87,1.08,1.12,1.13,1.13,1.13
1991,0.02,0.11,0.46,0.97,1.20,1.25,1.26,1.26,1.26
1992,0.02,0.12,0.49,1.04,1.29,1.34,1.35,1.35,1.35
1993,0.02,0.13,0.55,1.18,1.46,1.52,1.53,1.53,1.53
1994,0.02,0.13,0.52,1.12,1.38,1.44,1.45,1.45,1.45
1995,0.02,0.09,0.36,0.77,0.95,0.98,0.99,0.99,0.99
1996,0.02,0.09,0.37,0.79,0.98,1.02,1.03,1.03,1.03
1997,0.01,0.08,0.33,0.71,0.88,0.91,0.92,0.92,0.92
1998,0.01,0.07,0.30,0.63,0.78,0.82,0.82,0.82,0.82
1999,0.01,0.04,0.17,0.37,0.46,0.48,0.48,0.48,0.48
2000,0.01,0.05,0.22,0.48,0.59,0.62,0.62,0.62,0.62
2001,0.01,0.06,0.26,0.55,0.68,0.71,0.72,0.72,0.72
2002,0.01,0.05,0.21,0.44,0.54,0.56,0.57,0.57,0.57
2003,0.01,0.06,0.24,0.52,0.64,0.67,0.67,0.67,0.67
2004,0.01,0.06,0.25,0.52,0.65,0.67,0.68,0.68,0.68
2005,0.01,0.03,0.17,0.56,0.83,0.90,0.92,0.92,0.92
2006,0.00,0.03,0.15,0.47,0.71,0.77,0.78,0.78,0.78
2007,0.00,0.03,0.14,0.45,0.68,0.74,0.75,0.75,0.75
2008,0.01,0.03,0.18,0.57,0.85,0.92,0.93,0.94,0.94
2009,0.01,0.03,0.19,0.59,0.89,0.96,0.97,0.98,0.98
2010,0.00,0.03,0.17,0.53,0.79,0.86,0.87,0.87,0.87
2011,0.00,0.03,0.16,0.52,0.78,0.84,0.86,0.86,0.86
