Year,1,2,3,4,5,6,7,8,9,10
1971,0.908,2.193,4.831,7.464,9.669,11.784,13.862,15.494,16.195,16.315
1972,0.908,2.193,4.831,7.464,9.669,11.784,13.862,15.494,16.195,16.315
1973,0.908,2.193,4.831,7.464,9.669,11.784,13.862,15.494,16.195,16.315
1974,0.908,2.193,4.831,7.464,9.669,11.784,13.862,15.494,16.195,16.315
1975,0.908,2.193,4.831,7.464,9.669,11.784,13.862,15.494,16.195,16.315
1976,0.908,2.193,4.831,7.464,9.669,11.784,13.862,15.494,16.195,16.315
1977,0.908,2.193,4.831,7.464,9.669,11.784,13.862,15.494,16.195,16.315
1978,0.908,2.193,4.831,7.464,9.669,11.784,13.862,15.494,16.195,16.315
1979,0.908,2.193,4.831,7.464,9.669,11.784,13.862,15.494,16.195,16.315
1980,0.908,2.193,4.831,7.464,9.669,11.784,13.862,15.494,16.195,16.315
1981,0.945,1.549,4.385,7.565,9.060,12.750,13.822,19.232,19.232,19.232
1982,0.945,2.242,4.474,7.797,10.250,12.465,15.074,16.908,18.538,20.949
1983,0.979,2.525,4.961,7.457,9.965,12.010,14.767,17.643,19.131,19.131
1984,0.981,2.645,5.284,7.828,9.758,11.672,14.548,16.527,16.527,16.527
1985,1.001,2.637,5.521,8.082,10.407,11.469,13.448,16.658,20.853,20.853
1986,1.054,2.554,5.398,7.440,10.782,12.396,13.558,13.558,13.558,13.558
1987,0.909,2.504,5.264,8.089,10.447,13.574,15.029,16.229,16.229,16.229
1988,0.906,2.187,5.318,7.997,10.649,12.486,13.805,14.285,16.592,16.592
1989,0.844,2.013,4.706,7.638,9.438,12.917,12.479,15.407,16.683,16.683
1990,0.880,2.300,4.624,7.188,9.045,11.713,13.769,16.786,13.081,13.081
1991,0.905,2.135,4.987,6.738,8.865,10.809,13.768,15.478,15.478,15.478
1992,0.815,1.916,4.916,7.359,9.744,11.498,12.474,15.117,15.117,15.117
1993,0.871,2.043,4.508,6.866,8.431,10.942,12.147,13.646,16.530,16.530
1994,0.874,2.000,4.492,7.926,10.092,12.212,13.072,15.865,15.865,15.865
1995,0.806,1.973,4.589,7.560,9.750,11.152,13.983,14.147,14.147,14.147
1996,0.787,1.877,4.639,6.997,9.854,11.407,13.040,10.363,10.363,10.363
1997,0.771,2.039,4.516,7.389,9.719,11.820,14.367,13.687,13.687,13.687
1998,0.853,1.896,4.461,6.881,9.329,11.216,13.904,14.573,17.161,14.020
1999,0.993,2.098,4.495,7.326,8.945,11.255,13.877,15.988,15.988,17.159
2000,0.863,2.541,4.629,7.042,9.502,10.660,11.746,14.476,14.720,14.720
2001,0.794,2.029,5.112,7.858,9.832,11.423,13.206,14.879,16.311,16.311
2002,0.757,1.880,4.728,6.764,9.360,10.774,12.876,13.463,13.719,14.300
2003,0.889,1.844,4.274,6.667,9.506,11.064,12.040,12.762,11.139,11.139
2004,0.884,2.177,4.543,7.073,9.435,10.802,11.985,14.115,14.115,12.468
2005,0.776,2.118,3.907,6.168,9.194,11.544,10.037,12.657,13.835,13.835
2006,0.789,1.793,4.716,7.404,9.186,11.646,12.313,12.699,12.699,12.699
2007,0.772,1.657,4.276,7.463,9.697,11.863,12.441,13.953,15.046,15.046
2008,0.847,1.804,4.541,7.164,9.229,11.095,13.470,12.807,15.178,16.086
2009,0.923,2.384,4.248,6.721,8.895,10.584,10.342,10.497,16.169,14.560
2010,0.853,2.226,4.789,7.285,9.975,11.948,12.188,14.489,15.119,15.119
2011,0.532,1.449,4.551,7.745,9.524,10.597,12.749,10.595,10.595,10.595
2012,1.093,1.712,3.510,7.077,10.196,12.232,14.106,13.929,11.214,16.248
2013,0.982,2.159,4.087,6.977,8.363,10.479,11.904,16.384,12.989,12.989
2014,0.811,2.454,4.726,7.228,9.114,11.080,12.014,16.659,16.659,16.659
2015,0.915,1.838,4.144,7.980,9.539,10.719,11.891,12.416,16.165,16.165
2016,0.850,1.991,4.367,7.167,9.198,11.131,10.912,14.379,17.083,17.083
2017,0.966,2.160,3.991,7.057,8.716,9.276,10.518,11.236,12.279,12.279
