Year,1,2,3,4,5,6,7+
1971,4769,1118,1381,260,131,47,30
1972,928,2296,390,540,115,72,46
1973,2810,553,947,194,234,50,32
1974,889,1428,184,402,96,118,113
1975,6031,532,802,102,204,41,67
1976,1986,3093,255,433,24,67,21
1977,2871,1151,926,136,237,9,78
1978,2741,1701,450,480,91,132,77
1979,6630,1491,765,222,266,53,88
1980,12254,3634,734,338,110,116,29
1981,5179,6872,1506,297,105,40,24
1982,2117,2860,2189,414,93,46,12
1983,6923,1209,1003,841,167,41,21
1984,6696,3153,396,276,272,62,14
1985,5892,3443,1177,178,126,129,41
1986,5000,2964,1338,466,82,63,34
1987,25361,2493,967,409,134,37,28
1988,12239,13110,950,335,97,51,19
1989,3648,5919,4547,427,140,36,21
1990,4042,1670,1900,1221,196,41,31
1991,11365,2146,459,547,360,84,24
1992,11742,5745,625,142,129,101,32
1993,3699,5927,1812,179,53,39,32
1994,13712,2004,2128,539,67,20,33
1995,9669,7180,812,540,187,29,11
1996,7418,5157,2208,333,165,81,7
1997,9987,3968,1699,599,137,45,12
1998,5008,5068,1190,436,198,65,14
1999,2349,2506,1388,327,111,67,26
2000,10651,1023,783,374,111,35,28
2001,8838,5073,322,218,138,48,47
2002,2183,4453,1539,121,81,46,42
2003,1299,1146,1361,377,37,34,26
2004,2926,699,331,295,99,15,13
2005,4164,1489,235,94,78,25,4
2006,4575,2267,477,55,26,21,8
2007,3845,2457,741,138,20,8,8
2008,1602,1924,664,195,53,8,8
2009,2997,865,690,221,61,20,4
2010,13504,1671,365,231,85,15,3
2011,4881,7680,795,164,97,29,6
2012,816,1752,2690,387,80,47,23
2013,1360,462,805,826,104,39,11
2014,6595,730,157,222,236,24,3
2015,650,3374,239,47,73,69,23
2016,2530,362,1073,78,18,28,49
2017,501,1414,179,312,31,9,16
