Year,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1962,0.14,0.34,0.55,0.88,1.23,1.66,2.12,2.64,3.18,3.76,4.15,6.06,5.54,6.11,5.83,6.44,6.07,6.61,7.19
1963,0.14,0.34,0.55,0.88,1.23,1.66,2.12,2.64,3.18,3.76,4.15,6.06,5.54,6.11,5.83,6.44,6.07,6.61,7.19
1964,0.14,0.34,0.55,0.88,1.23,1.66,2.12,2.64,3.18,3.76,4.15,6.06,5.54,6.11,5.83,6.44,6.07,6.61,7.19
1965,0.14,0.34,0.55,0.88,1.23,1.66,2.12,2.64,3.18,3.76,4.15,6.06,5.54,6.11,5.83,6.44,6.07,6.61,7.19
1966,0.14,0.34,0.55,0.88,1.23,1.66,2.12,2.64,3.18,3.76,4.15,6.06,5.54,6.11,5.83,6.44,6.07,6.61,7.19
1967,0.14,0.34,0.55,0.88,1.23,1.66,2.12,2.64,3.18,3.76,4.15,6.06,5.54,6.11,5.83,6.44,6.07,6.61,7.19
1968,0.14,0.34,0.55,0.88,1.23,1.66,2.12,2.64,3.18,3.76,4.15,6.06,5.54,6.11,5.83,6.44,6.07,6.61,7.19
1969,0.14,0.34,0.55,0.88,1.23,1.66,2.12,2.64,3.18,3.76,4.15,6.06,5.54,6.11,5.83,6.44,6.07,6.61,7.19
1970,0.14,0.34,0.55,0.88,1.23,1.66,2.12,2.64,3.18,3.76,4.15,6.06,5.54,6.11,5.83,6.44,6.07,6.61,7.19
1971,0.14,0.34,0.55,0.88,1.23,1.66,2.12,2.64,3.18,3.76,4.15,6.06,5.54,6.11,5.83,6.44,6.07,6.61,7.19
1972,0.14,0.44,0.53,0.64,1.08,1.52,2.13,2.86,3.29,3.95,4.12,5,9.32,9.4,6.89,14.67,12.04,7.62,17.46
1973,NA,0.32,0.47,0.71,0.96,1.3,1.8,2.2,2.82,3.19,3.79,4.53,6.93,7.22,7.05,9.45,11.16,7.62,17.46
1974,0.11,0.35,0.68,0.91,1.11,1.27,1.56,2.05,2.75,3.13,3.41,4.92,4.4,6.33,5.5,7.57,11.07,7.62,17.46
1975,0.26,0.45,0.63,0.96,1.18,1.39,1.74,2.21,2.61,3.34,3.66,4.78,5.2,5.2,5.46,8.51,9.24,7.62,17.46
1976,0.25,0.45,0.61,0.93,1.32,1.75,2.07,2.24,2.99,3.67,4.56,6.18,8.19,9.77,11.23,12.44,11.16,7.62,17.46
1977,0.09,0.45,0.6,0.97,1.66,2.33,2.82,3.46,3.88,4.78,6.13,7.31,8.4,8.81,11.75,10.63,12.27,7.62,17.46
1978,NA,0.4,0.72,1.04,1.58,2.46,3.26,4.05,4.46,5.02,6.72,8.1,7.42,8.2,11.26,11.61,8.92,10.57,16
1979,NA,0.46,0.74,1.13,1.67,2.46,3.57,4.41,5.25,5.8,7.03,8.96,8.54,9.46,10.7,13.12,13.49,15.51,14.77
1980,0.41,0.53,0.77,1.16,1.71,2.38,3.56,5.01,5.49,6.72,7.87,8.38,10.03,11.31,13.87,10.68,16.09,12.04,11.37
1981,NA,0.55,0.78,1.17,1.64,2.23,2.86,3.81,5.32,6.29,7.06,7.32,10.01,8.99,11.54,10.48,11.15,9.82,12.59
1982,NA,0.53,0.84,1.2,1.77,2.1,2.66,3.09,4.18,6.16,7.19,8,8.36,7.86,7.91,9.58,12.95,NA,NA
1983,0.31,0.62,0.87,1.32,1.75,2.28,2.61,3.18,3.5,4.79,7.76,9.07,9.14,10.62,10.57,13.13,15.97,9.73,15.88
1984,0.34,0.59,0.88,1.2,1.79,2.28,2.71,2.96,3.65,4.28,6.19,8.39,10.26,11.44,11.61,17.47,12.94,15.21,12.81
1985,NA,0.48,0.73,1.1,1.43,2.06,2.66,3.23,3.32,4.06,4.55,7.03,9.67,11.37,11.27,12.68,12.42,14.38,19.49
1986,0.21,0.51,0.72,1.04,1.54,1.85,2.35,2.94,3.47,3.8,4.54,5.34,7.12,11.77,11.24,14.15,16.14,12.3,15.72
1987,0.32,0.43,0.66,1.03,1.32,1.87,1.93,2.8,3.51,4.8,4.64,5.74,6.13,8.53,13.51,9.1,21.77,17.66,NA
1988,0.29,0.49,0.73,1.08,1.38,1.67,2.21,2.51,3.04,4.37,5.49,6.55,8.6,9.76,9.73,12.58,16.01,16.6,11.03
1989,0.26,0.48,0.74,1.03,1.44,1.83,2.07,2.64,3.02,3.96,5.41,7.5,9.24,10.05,9.34,15.74,18.66,NA,17.64
1990,0.29,0.42,0.69,1.06,1.5,1.94,2.22,2.44,3.06,3.58,4.68,6.23,8.51,9.78,12.58,15.45,13.58,17.26,NA
1991,0.17,0.36,0.61,0.97,1.41,1.88,2.27,2.63,3.14,3.8,4.96,5.49,7.61,11.58,11.01,12.82,13,13.1,NA
1992,NA,0.29,0.58,0.81,1.19,1.73,2.05,2.66,2.24,2.68,4.95,5.34,7.02,NA,NA,NA,NA,NA,NA
1993,NA,0.57,0.71,0.97,1.25,1.59,8.4,9.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,NA,0.4,0.68,0.98,1.41,1.85,2.05,3.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
