Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1983,0.01,0.07,0.21,0.44,0.78,1.26,1.89,2.55,3.43,4.34,5.84,7.49,9.39,11.29,13.48,15.35,16.54,18.09,19.57,20.98
1984,0.01,0.08,0.21,0.45,0.77,1.22,1.84,2.61,3.36,4.35,5.35,7.04,8.84,10.88,12.85,15.1,16.97,18.09,19.57,20.98
1985,0.01,0.08,0.21,0.44,0.78,1.21,1.77,2.52,3.43,4.26,5.37,6.43,8.31,10.24,12.39,14.42,16.7,18.53,19.57,20.98
1986,0.01,0.08,0.22,0.45,0.77,1.22,1.76,2.42,3.3,4.35,5.25,6.45,7.57,9.62,11.67,13.92,15.97,18.25,20.03,20.98
1987,0.01,0.08,0.22,0.46,0.78,1.21,1.77,2.4,3.17,4.18,5.35,6.3,7.6,8.76,10.97,13.11,15.42,17.48,19.74,21.45
1988,0.01,0.08,0.22,0.46,0.8,1.23,1.75,2.42,3.14,4,5.14,6.43,7.41,8.79,9.98,12.33,14.55,16.9,18.94,21.16
1989,0.01,0.08,0.22,0.46,0.81,1.26,1.78,2.39,3.16,3.95,4.9,6.16,7.57,8.57,10.01,11.21,13.69,15.97,18.34,20.34
1990,0.01,0.08,0.22,0.46,0.81,1.27,1.83,2.43,3.12,3.98,4.84,5.87,7.24,8.75,9.76,11.25,12.46,15.04,17.35,19.71
1991,0.01,0.08,0.23,0.47,0.81,1.28,1.84,2.5,3.17,3.93,4.87,5.79,6.88,8.35,9.96,10.97,12.5,13.7,16.36,18.69
1992,0.01,0.09,0.25,0.5,0.83,1.28,1.86,2.52,3.27,3.99,4.82,5.82,6.78,7.93,9.5,11.2,12.18,13.74,14.92,17.65
1993,0.01,0.08,0.25,0.54,0.9,1.32,1.86,2.55,3.3,4.13,4.89,5.76,6.82,7.81,9.01,10.67,12.43,13.4,14.97,16.13
1994,0.01,0.08,0.24,0.55,0.99,1.43,1.93,2.56,3.34,4.17,5.06,5.85,6.74,7.86,8.87,10.11,11.84,13.67,14.6,16.18
1995,0.02,0.08,0.24,0.53,1,1.6,2.12,2.67,3.35,4.21,5.11,6.06,6.85,7.77,8.92,9.94,11.22,13.01,14.88,15.78
1996,0.02,0.08,0.24,0.52,0.95,1.63,2.39,2.93,3.51,4.24,5.17,6.12,7.1,7.89,8.82,10,11.03,12.32,14.17,16.08
1997,0.02,0.09,0.24,0.51,0.93,1.52,2.43,3.34,3.88,4.45,5.21,6.19,7.18,8.19,8.96,9.88,11.08,12.11,13.42,15.32
1998,0.02,0.09,0.25,0.51,0.91,1.48,2.25,3.39,4.45,4.95,5.48,6.24,7.27,8.28,9.3,10.05,10.96,12.17,13.19,14.5
1999,0.02,0.09,0.26,0.53,0.9,1.45,2.18,3.13,4.52,5.7,6.12,6.58,7.33,8.38,9.4,10.43,11.14,12.03,13.25,14.25
2000,0.02,0.09,0.26,0.55,0.94,1.42,2.12,3.02,4.15,5.79,7.07,7.37,7.74,8.46,9.53,10.55,11.56,12.23,13.1,14.31
2001,0.02,0.09,0.27,0.56,0.98,1.49,2.07,2.92,3.99,5.3,7.19,8.54,8.69,8.95,9.62,10.69,11.7,12.69,13.31,14.15
2002,0.02,0.09,0.26,0.57,1,1.55,2.18,2.84,3.84,5.08,6.56,8.68,10.08,10.06,10.18,10.79,11.86,12.85,13.82,14.38
2003,0.02,0.09,0.26,0.55,1.02,1.58,2.27,3,3.73,4.87,6.26,7.9,10.23,11.66,11.46,11.43,11.97,13.02,13.98,14.92
2004,0.02,0.09,0.27,0.54,0.97,1.61,2.31,3.13,3.94,4.71,6,7.53,9.31,11.84,13.27,12.86,12.69,13.15,14.17,15.1
2005,0.02,0.09,0.27,0.56,0.95,1.53,2.36,3.19,4.11,4.99,5.78,7.19,8.86,10.76,13.46,14.86,14.27,13.94,14.32,15.31
2006,0.02,0.09,0.27,0.56,0.98,1.5,2.23,3.26,4.19,5.2,6.12,6.91,8.45,10.24,12.25,15.07,16.44,15.66,15.18,15.47
2007,0.02,0.09,0.27,0.56,0.99,1.53,2.16,3.06,4.28,5.31,6.39,7.33,8.11,9.75,11.64,13.73,16.66,17.97,17.01,16.39
2008,0.02,0.1,0.27,0.56,0.99,1.56,2.21,2.95,4,5.43,6.52,7.66,8.6,9.34,11.08,13.05,15.21,18.2,19.45,18.33
2009,0.02,0.1,0.27,0.56,0.99,1.55,2.25,3.02,3.85,5.05,6.67,7.81,8.98,9.91,10.6,12.41,14.46,16.66,19.68,20.85
2010,0.02,0.1,0.28,0.58,0.99,1.55,2.24,3.08,3.93,4.84,6.18,7.99,9.16,10.35,11.24,11.87,13.75,15.85,18.06,21.09
2011,0.02,0.1,0.29,0.59,1.01,1.55,2.24,3.05,4.01,4.94,5.91,7.38,9.36,10.55,11.73,12.58,13.14,15.07,17.2,19.42
2012,0.02,0.1,0.29,0.6,1.05,1.59,2.24,3.05,3.97,5.04,6.03,7.04,8.63,10.78,11.95,13.13,13.92,14.39,16.36,18.51
