Year,1,2,3,4,5,6,7,8+
1972,NA,NA,0.811,0.722,0.981,1.500,1.930,2.296
1973,NA,NA,0.633,0.314,1.300,0.994,0.828,3.430
1974,NA,NA,0.657,0.805,1.769,2.829,3.983,7.701
1975,NA,NA,0.697,1.636,1.798,2.658,3.766,6.497
1976,NA,NA,0.671,1.293,4.192,5.085,5.923,6.298
1977,NA,NA,0.314,0.845,1.400,3.433,5.156,7.722
1978,NA,NA,0.374,0.600,1.102,1.582,2.658,6.351
1979,NA,NA,0.790,1.070,1.480,2.450,4.350,7.079
1980,NA,NA,0.859,1.137,1.747,2.466,3.167,4.676
1981,NA,NA,0.620,1.250,1.880,2.680,3.190,4.747
1982,NA,NA,0.760,1.340,2.450,2.870,4.680,6.146
1983,NA,NA,1.330,1.140,2.240,3.530,4.760,9.163
1984,NA,NA,0.460,1.866,3.695,3.660,6.588,6.655
1985,NA,NA,0.283,0.851,1.605,2.816,4.522,7.978
1986,NA,0.165,0.411,0.784,1.631,2.836,4.317,7.380
1987,0.091,0.133,0.327,1.040,1.890,2.993,4.440,7.630
1988,0.058,0.198,0.442,0.821,2.190,3.386,5.274,7.969
1989,NA,0.209,0.576,0.918,1.434,2.293,4.721,7.648
1990,0.080,0.153,0.500,0.890,1.606,2.518,3.554,7.166
1991,0.118,0.229,0.496,0.785,1.738,2.622,3.474,6.818
1992,NA,0.298,0.414,0.592,1.093,1.704,2.619,3.865
1993,NA,0.210,0.509,0.894,1.829,2.233,3.367,4.841
1994,NA,0.289,0.497,0.792,1.916,2.719,2.158,4.239
1995,NA,NA,0.415,0.790,1.447,2.266,3.960,5.500
1996,NA,0.286,0.789,1.051,1.543,2.429,NA,NA
1997,NA,NA,0.402,0.640,0.869,1.197,1.339,NA
1998,NA,NA,0.719,1.024,1.468,1.800,2.252,3.862
1999,NA,NA,0.920,1.298,1.848,2.436,3.513,4.893
2000,NA,0.583,0.672,1.749,2.054,2.836,3.618,NA
2001,NA,0.481,NA,1.696,2.560,NA,3.905,5.217
2002,NA,0.588,1.323,1.388,2.572,3.770,5.158,5.603
2003,NA,0.462,1.063,1.455,2.978,3.696,5.859,6.120
2004,NA,0.839,1.677,2.009,3.353,5.576,6.241,8.273
2005,NA,0.895,1.618,2.368,3.259,4.767,6.177,6.553
2006,NA,1.081,1.462,2.283,3.966,5.035,6.332,NA
2007,NA,0.974,1.858,3.388,4.062,6.128,6.809,9.440
2008,0.088,0.448,1.364,3.037,3.498,5.248,6.643,8.251
2009,0.172,0.507,1.026,2.087,3.727,NA,5.900,9.534
2010,0.162,0.700,1.279,1.829,2.764,4.372,4.199,8.575
2011,0.086,0.396,0.939,1.523,2.224,3.558,5.979,8.677
2012,0.086,0.374,0.990,1.491,2.135,3.585,6.198,9.041
2013,0.067,0.284,0.758,1.289,2.027,2.868,4.476,8.243
2014,0.108,0.203,0.538,1.108,1.809,2.874,4.087,7.669
