Year,1,2,3,4,5,6,7,8+
1972,0,0,278,19303,12372,6555,3083,3177
1973,0,0,2035,116,11709,3470,853,1085
1974,0,0,5999,11130,2232,1894,271,257
1975,0,0,7090,2436,1241,238,281,258
1976,0,0,17564,10653,386,100,63,5
1977,0,0,119,17581,8502,436,267,318
1978,0,0,428,3092,18077,3615,329,270
1979,0,0,167,2616,5599,5882,316,137
1980,0,0,551,500,1423,1051,1318,96
1981,0,0,1732,6768,161,326,189,539
1982,0,0,21,3040,1926,310,97,357
1983,0,0,2818,713,765,657,94,131
1984,0,0,9,2229,966,59,90,146
1985,0,0,19,5499,3549,1232,931,218
1986,0,2549,2266,4251,2943,1061,169,162
1987,814,1848,3102,1915,1259,846,313,112
1988,1,3500,25593,11161,1399,414,315,162
1989,0,52,15399,23233,9373,943,220,205
1990,7,254,2180,15740,10824,2286,378,117
1991,1,561,5196,1960,3151,1688,368,76
1992,0,15517,10180,4865,3399,2483,1106,472
1993,0,2657,14530,3547,931,284,426,213
1994,0,1219,25400,8273,386,185,14,182
1995,0,0,264,6553,2750,651,135,232
1996,0,81,714,311,1072,88,0,0
1997,0,0,810,762,143,286,48,0
1998,0,0,8,170,286,30,19,2
1999,0,0,15,15,96,60,3,1
2000,0,10,54,1,1,4,1,0
2001,0,9,0,4,2,0,2,2
2002,NA,NA,NA,NA,NA,NA,NA,NA
2003,NA,NA,NA,NA,NA,NA,NA,NA
2004,NA,NA,NA,NA,NA,NA,NA,NA
2005,NA,NA,NA,NA,NA,NA,NA,NA
2006,0,22,19,81,2,10,2,0
2007,0,2,30,1,27,1,14,5
2008,1,89,136,133,3,40,1,3
2009,0,23,51,210,108,0,32,7
2010,34,452,1145,1498,808,388,4,103
2011,NA,NA,NA,NA,NA,NA,NA,NA
2012,NA,NA,NA,NA,NA,NA,NA,NA
2013,31,894,5624,1236,1158,640,382,252
2014,8,15,809,4554,1581,871,509,341
