Year,1,2,3,4,5,6,7,8+
1972,0,0,0.067,0.756,1.298,1.903,3.266,3.266
1973,0,0,0.122,0.035,1.644,2.14,2.099,2.099
1974,0,0,0.783,1.786,1.649,1.611,1.167,1.167
1975,0,0,0.204,0.838,1.061,0.756,1.208,1.208
1976,0,0,0.262,0.51,0.281,0.198,0.433,0.433
1977,0,0,0.008,0.435,0.979,0.567,1.17,1.17
1978,0,0,0.071,0.299,1.076,1.786,1.129,1.129
1979,0,0,0.095,0.749,1.36,1.364,0.714,0.714
1980,0,0,0.045,0.43,1.25,1.019,1.457,1.457
1981,0,0,0.232,1.092,0.228,1.122,0.469,0.469
1982,0,0,0.004,0.77,1.088,0.864,1.292,1.292
1983,0,0,0.246,0.198,0.421,1.572,0.674,0.674
1984,0,0,0.001,0.301,0.428,0.049,0.955,0.955
1985,0,0,0.002,0.708,1.072,1.637,2.714,2.714
1986,0,0.062,0.289,0.978,1.048,1.139,1.103,1.103
1987,0.013,0.021,0.096,0.405,0.866,0.994,1.344,1.344
1988,0,0.066,0.433,0.554,0.562,0.765,1.374,1.374
1989,0,0.005,0.438,0.862,1.312,0.917,1.271,1.271
1990,0,0.017,0.254,1.081,1.38,1.527,1.246,1.246
1991,0,0.029,0.519,0.364,0.612,0.79,1.151,1.151
1992,0,0.382,1.014,1.381,2.256,1.545,2.702,2.702
1993,0,0.062,0.717,1.267,1.111,1.851,1.364,1.364
1994,0,0.718,1.263,1.206,0.395,0.65,0.374,0.374
1995,0,0,0.312,1.468,2.472,3.286,1.552,1.552
1996,0,0.048,0.299,0.707,1.032,0.525,0,0
1997,0,0,0.87,0.574,0.817,0.834,0.587,0.587
1998,0,0,0.096,0.42,0.419,0.374,0.108,0.108
1999,0,0,0.192,0.253,0.423,0.137,0.055,0.055
2000,0,0.484,0.523,0.017,0.023,0.026,0.003,0.003
2001,0,0.037,0,0.062,0.041,0,0.016,0.016
2002,0,0.005,0.015,0.01,0.012,0.005,0.015,0.015
2003,0,0.005,0.01,0.01,0.01,0.005,0.005,0.005
2004,0,0.001,0.005,0.002,0.002,0.004,0.001,0.001
2005,0,0.005,0.005,0.009,0.005,0.004,0.003,0.003
2006,0,0.008,0.449,0.133,0.072,0.05,0.018,0.018
2007,0,0,0.013,0.022,0.058,0.053,0.084,0.084
2008,0,0.011,0.028,0.07,0.128,0.11,0.068,0.068
2009,0,0.003,0.008,0.053,0.071,0,0.114,0.114
2010,0.003,0.049,0.196,0.314,0.284,0.377,0.29,0.29
2011,0.001,0.053,0.252,0.182,0.445,0.686,0.766,0.766
2012,0.001,0.014,0.184,0.189,0.409,0.543,0.563,0.563
2013,0.007,0.035,0.263,0.218,0.395,0.447,0.544,0.544
2014,0.001,0.004,0.039,0.338,0.454,0.562,0.754,0.754
