Year,1,2,3,4,5,6,7,8+
1972,0.05,0.2,0.81,0.72,0.98,1.5,1.93,2.3
1973,0.05,0.2,0.63,0.31,1.3,0.99,0.83,3.43
1974,0.05,0.2,0.66,0.81,1.77,2.83,3.98,7.7
1975,0.05,0.2,0.7,1.64,1.8,2.66,3.77,6.5
1976,0.05,0.2,0.67,1.29,4.19,5.09,5.92,6.3
1977,0.05,0.2,0.31,0.85,1.4,3.43,5.16,7.72
1978,0.05,0.2,0.37,0.6,1.1,1.58,2.66,6.35
1979,0.05,0.2,0.79,1.07,1.48,2.45,4.35,7.08
1980,0.05,0.2,0.86,1.14,1.75,2.47,3.17,4.68
1981,0.05,0.2,0.62,1.25,1.88,2.68,3.19,4.75
1982,0.05,0.2,0.76,1.34,2.45,2.87,4.68,6.15
1983,0.05,0.2,1.33,1.14,2.24,3.53,4.76,9.16
1984,0.05,0.2,0.46,1.87,3.7,3.66,6.59,6.66
1985,0.05,0.2,0.28,0.85,1.61,2.82,4.52,7.98
1986,0.05,0.2,0.41,0.78,1.63,2.84,4.32,7.39
1987,0.05,0.2,0.33,1.04,1.89,2.99,4.44,7.63
1988,0.03,0.1,0.31,0.68,1.97,3.59,5.77,6.93
1989,0.04,0.24,0.54,1.04,1.6,2.51,4.27,6.93
1990,0.04,0.17,0.34,0.85,1.5,2.43,4.08,5.64
1991,0.05,0.17,0.5,0.86,1.61,2.61,4.26,7.69
1992,0.05,0.25,0.49,1.38,1.7,2.63,3.13,6.69
1993,0.04,0.22,0.66,1.21,2.27,2.37,3.45,5.89
1994,0.06,0.21,0.59,1.32,2.26,4.03,4.03,6.72
1995,0.05,0.24,0.47,0.96,1.85,3.16,5.56,8.48
1996,0.04,0.25,0.53,0.8,1.32,2.27,4,5.03
1997,0.08,0.32,0.64,1,1.31,2.1,2,9.57
1998,0.07,0.36,0.75,1.19,1.66,1.99,3.1,7.4
1999,0.1,0.37,0.92,1.3,1.85,2.44,3.51,4.89
2000,0.1,0.58,0.96,1.61,1.91,2.83,3.47,5.28
2001,0.08,0.48,1.25,1.7,2.56,3.42,3.91,5.22
2002,0,0.42,1.12,1.43,2.47,3.59,4.86,5.31
2003,0.05,0.33,0.9,1.5,2.86,3.52,5.52,5.8
2004,0.07,0.6,1.42,2.07,3.22,5.31,5.88,7.84
2005,0.02,0.64,1.37,2.44,3.13,4.54,NA,6.21
2006,0.09,0.7,1.06,2.49,3.57,4.69,5.76,9.55
2007,0.05,0.59,1.6,3.4,4.01,5.69,6.27,8.76
2008,0.07,0.38,1.34,2.69,3.19,5.02,6.32,7.94
2009,0.08,0.41,0.98,2.07,3.88,6.96,6.58,9.46
2010,0.06,0.38,1.09,1.68,2.96,5.38,7.62,9.14
2011,0.04,0.23,0.97,1.7,2.45,3.74,6.26,9.67
2012,0.07,0.37,0.73,1.35,1.99,2.66,4.93,7.81
2013,0.07,0.17,0.69,1.16,2,2.75,4.21,7.61
2014,0.05,0.17,0.35,1.06,1.62,2.54,3.85,8.44
