Year,1,2,3,4,5,6,7+
1994,0.309,0.711,1.314,2.369,4.322,6.189,5.582
1995,0.287,0.669,1.162,2.086,3.62,6.009,9.181
1996,0.262,0.66,1.088,2.033,2.872,5.494,6.699
1997,0.297,0.754,0.996,1.697,2.226,4.041,6.372
1998,0.296,0.699,1.171,1.901,2.95,3.938,6.408
1999,0.313,0.595,1.123,1.454,3.12,3.918,4.97
2000,0.325,0.597,0.919,1.676,3.338,5.158,7.22
2001,0.369,0.611,1.082,1.763,3.181,5.057,6.995
2002,0.332,0.654,1.113,1.702,3.343,4.097,6.527
2003,0.384,0.641,1.073,1.981,3.654,5.136,7.178
2004,0.301,0.68,0.927,1.504,3.375,4.195,6.093
2005,0.334,0.598,1.256,2.165,3.377,4.874,6.833
2006,0.26,0.5,1.053,2.298,3.621,4.215,5.7
2007,0.293,0.674,1.044,2.029,3.03,4.736,6.331
2008,0.303,0.672,1.226,2.105,3.191,4.354,6.952
2009,0.405,0.454,1.144,1.816,3.081,4.852,4.977
2010,0.41,0.814,1.006,1.514,2.865,3.45,4.625
2011,0.484,0.974,1.228,1.239,1.618,2.542,2.177
2012,0.538,0.83,1.139,1.868,2.45,2.558,3.538
2013,0.634,0.704,1.133,1.22,2.134,3.258,3.536
2014,0.294,0.749,1.35,2.59,3.75,5.547,5.453
2015,0.355,0.635,1.443,2.458,4.433,4.448,6.9
2016,0.363,0.827,1.219,2.377,3.12,4.836,6.281
2017,0.31,0.716,1.283,2.02,3.519,4.232,5.402
