Year,1,2,3,4,5,6,7,8,9,10,11,12
2001,20.1,28.2,34.9,42.7,52.7,55.4,,73,74,,,
2002,22.1,28.5,35.5,41.7,47.6,56.7,57,,,,,
2003,19.4,30.5,39,45.4,53.8,,,,,,,
2004,20.9,28.1,35,43.7,49.4,57.4,60.5,81,,58,,
2005,20.4,29.1,38.3,44.5,51.6,60.4,,,,,,
2006,17.9,25.1,37.1,47,52.5,56.2,71.1,65.6,,,,
2007,20.6,27.4,37.9,47.9,57.2,61.2,66.9,74,90,80,,
2008,20.8,27.9,37.5,46.4,55.2,64,67.8,66.7,71.3,,,102
2009,19.7,28.4,37.7,45.5,52.8,59.9,68,75.9,73.2,82,,
2010,20.6,28.6,39.5,43.9,51.6,57.5,64.7,70.9,73.2,72.7,102.7,
2011,20.6,32.4,38.1,47.6,53.3,59.2,65.4,70,77.2,79.8,78,
2012,21.9,30,41.5,47.1,55.6,58.1,66,70.1,74.5,80.9,84,91.4
2013,20.6,29.1,37.9,51.2,54.7,62.5,65.1,69.5,75.6,79.6,84,86
2014,18.8,29.4,39.2,44.9,56.5,62.5,68.8,72.5,77.3,80.9,85.2,93.7
2015,20.4,28.7,38.4,44.6,50.1,59.6,64.3,72,75.2,82.7,92.1,89.9
