Cohort,0,1,2,3,4,5,6,7,8,9+
1982,0.012,0.224,0.653,1.404,2.774,4.668,5.2,9.276,11.75,14.031
1983,0.024,0.234,0.733,1.698,3.09,5.205,5.98,10.82,12.261,14.483
1984,0.001,0.206,0.501,1.323,2.36,4.282,7.721,10.429,10.483,15.701
1985,0.039,0.277,0.642,1.666,2.959,4.474,7.144,10.921,13.673,11.846
1986,0.005,0.154,0.577,1.518,2.141,3.894,5.587,9.817,12.542,22.443
1987,0.004,0.122,0.752,1.349,2.281,2.976,5.67,7.684,13.128,16.269
1988,0.003,0.236,0.811,1.601,2.747,4.42,6.335,11.466,14.455,16.938
1989,0.046,0.193,1.113,1.53,2.15,3.251,6.865,11.728,12.156,16.676
1990,0.021,0.236,1.033,1.748,3.085,5.09,7.558,9,12.118,12.279
1991,0.014,0.055,0.69,1.712,2.649,3.462,4.699,7.122,9.811,12.68
1992,0.023,0.081,0.73,1.591,2.26,3.074,4.255,6.704,9.331,9.559
1993,0.021,0.058,1.288,2.096,3.022,3.972,5.67,5.352,9.072,12.205
1994,0.022,0.103,1.293,2.128,2.633,3.892,5.898,7.273,8.808,12.058
1995,0.027,0.1,1.351,1.931,2.777,4.325,6.14,6.969,9.191,13.303
1996,0.033,0.064,1.071,1.723,3.316,4.666,6.132,7.649,9.764,12.549
1997,0.017,0.202,0.635,2.15,3.144,3.792,5.112,7.22,8.002,12.146
1998,0.008,0.222,1.081,2.176,2.906,3.654,5.35,6.349,7.43,12.394
1999,0.052,0.282,0.89,1.797,2.378,3.547,4.502,5.562,7.302,12.044
2000,0.03,0.316,0.795,1.843,2.965,4.233,4.463,6.167,7.528,12.887
2001,0.045,0.185,0.809,1.606,2.401,3.357,4.771,5.819,8,11.612
2002,0.032,0.202,0.483,1.625,2.932,3.735,3.988,5.959,8.73,12.984
2003,0.038,0.111,0.558,1.493,2.922,3.53,4.368,5.708,5.953,0
2004,0.025,0.126,0.648,1.731,2.818,3.575,4.447,5.717,0,0
2005,0.027,0.289,0.744,2.179,3.126,3.914,4.839,0,0,0
2006,0.071,0.22,0.862,2.153,3.203,3.87,0,0,0,0
2007,0.025,0.247,0.911,1.995,2.874,0,0,0,0,0
2008,0.085,0.337,1.2,2.056,0,0,0,0,0,0
2009,0.032,0.264,0.933,0,0,0,0,0,0,0
2010,0.023,0.329,0,0,0,0,0,0,0,0
2011,0.086,0,0,0,0,0,0,0,0,0
