Year,0,1,2,3,4,5,6,7,8,9+
1982,0.002,0.241,0.594,1.165,2.127,4.635,7.622,9.289,9.695,15.664
1983,0.008,0.050,0.501,1.114,1.894,3.136,5.539,6.549,9.962,13.325
1984,0.000,0.075,0.372,1.019,2.021,2.952,4.593,7.118,7.845,14.828
1985,0.015,0.014,0.403,0.910,2.013,3.532,4.608,6.863,9.700,13.676
1986,0.001,0.104,0.316,1.077,1.917,3.670,5.504,6.908,9.315,14.646
1987,0.001,0.028,0.406,0.777,2.273,3.574,5.889,8.079,9.487,14.582
1988,0.000,0.022,0.293,0.980,1.709,4.010,4.927,6.705,10.069,12.993
1989,0.022,0.027,0.292,0.887,2.179,3.172,5.578,6.945,8.799,20.913
1990,0.006,0.095,0.431,0.937,1.742,3.627,5.750,8.043,10.440,18.718
1991,0.007,0.071,0.450,1.083,1.689,2.846,5.654,8.972,11.518,14.060
1992,0.012,0.028,0.476,1.215,2.026,2.564,4.629,8.832,10.453,14.483
1993,0.012,0.046,0.191,1.254,1.702,3.449,4.083,7.388,12.219,15.708
1994,0.010,0.038,0.236,1.003,2.244,2.571,5.294,6.601,11.095,11.846
1995,0.012,0.051,0.275,0.946,2.021,3.934,4.722,8.526,10.045,22.443
1996,0.022,0.060,0.356,1.462,1.784,2.971,6.185,8.967,12.844,16.357
1997,0.005,0.049,0.391,1.466,2.407,2.571,3.973,8.245,11.940,16.938
1998,0.002,0.059,0.256,1.445,2.245,3.423,3.558,5.739,10.442,16.676
1999,0.022,0.044,0.343,1.196,2.237,3.139,4.752,5.301,8.351,12.279
2000,0.009,0.120,0.461,1.063,2.257,3.422,4.773,5.508,7.882,12.661
2001,0.023,0.097,0.456,1.305,2.420,3.851,5.091,6.513,6.912,9.538
2002,0.012,0.089,0.465,1.050,2.249,3.247,5.296,6.514,7.924,12.152
2003,0.022,0.089,0.346,1.053,1.742,2.977,4.118,6.837,8.011,12.023
2004,0.011,0.066,0.351,0.971,2.110,2.620,4.199,5.908,8.627,13.288
2005,0.008,0.060,0.248,0.821,1.654,3.338,3.841,5.758,7.593,12.546
2006,0.043,0.089,0.295,0.808,1.890,2.467,4.076,4.912,6.744,12.137
2007,0.009,0.124,0.450,0.925,1.771,3.005,3.723,5.020,6.329,12.394
2008,0.046,0.085,0.420,1.117,1.888,2.892,3.630,5.147,6.803,12.040
2009,0.014,0.171,0.480,1.248,2.283,2.908,3.658,4.735,6.735,12.878
2010,0.006,0.100,0.589,1.168,2.328,3.198,3.685,4.778,7.153,11.612
2011,0.084,0.087,0.492,1.353,1.972,3.262,4.114,4.788,5.751,12.995
