Year,1,2,3,4,5,6,7,8,9,10
1959,0,0.226,0.466,0.496,0.54,0.527,0.579,0.579,0.579,0.579
1960,0,0.29,0.603,0.651,0.719,0.723,0.802,0.802,0.802,0.802
1961,0,0.25,0.523,0.579,0.655,0.672,0.749,0.749,0.749,0.749
1962,0,0.214,0.456,0.517,0.592,0.608,0.666,0.666,0.666,0.666
1963,0,0.177,0.386,0.453,0.525,0.551,0.605,0.605,0.605,0.605
1964,0,0.146,0.335,0.416,0.502,0.552,0.625,0.625,0.625,0.625
1965,0,0.129,0.31,0.403,0.499,0.567,0.656,0.656,0.656,0.656
1966,0,0.11,0.278,0.376,0.484,0.579,0.703,0.703,0.703,0.703
1967,0,0.1,0.262,0.361,0.463,0.557,0.675,0.675,0.675,0.675
1968,0,0.094,0.259,0.361,0.453,0.535,0.631,0.631,0.631,0.631
1969,0,0.093,0.267,0.38,0.478,0.574,0.687,0.687,0.687,0.687
1970,0,0.071,0.213,0.309,0.389,0.475,0.572,0.572,0.572,0.572
1971,0,0.063,0.197,0.293,0.377,0.473,0.576,0.576,0.576,0.576
1972,0,0.06,0.188,0.278,0.348,0.427,0.512,0.512,0.512,0.512
1973,0,0.063,0.203,0.299,0.366,0.439,0.538,0.538,0.538,0.538
1974,0,0.061,0.201,0.301,0.373,0.451,0.568,0.568,0.568,0.568
1975,0,0.072,0.248,0.381,0.474,0.566,0.726,0.726,0.726,0.726
1976,0,0.077,0.279,0.451,0.584,0.72,0.969,0.969,0.969,0.969
1977,0,0.071,0.274,0.452,0.576,0.687,0.89,0.89,0.89,0.89
1978,0,0.062,0.243,0.399,0.496,0.582,0.746,0.746,0.746,0.746
1979,0,0.061,0.248,0.403,0.488,0.563,0.703,0.703,0.703,0.703
1980,0,0.056,0.234,0.371,0.435,0.49,0.595,0.595,0.595,0.595
1981,0,0.06,0.256,0.407,0.477,0.543,0.665,0.665,0.665,0.665
1982,0,0.061,0.267,0.427,0.499,0.571,0.707,0.707,0.707,0.707
1983,0,0.079,0.356,0.574,0.665,0.75,0.901,0.901,0.901,0.901
1984,0,0.069,0.312,0.504,0.573,0.633,0.742,0.742,0.742,0.742
1985,0,0.072,0.346,0.594,0.707,0.833,1.018,1.018,1.018,1.018
1986,0,0.061,0.302,0.532,0.633,0.745,0.9,0.9,0.9,0.9
1987,0,0.055,0.268,0.474,0.555,0.652,0.792,0.792,0.792,0.792
1988,0,0.069,0.331,0.587,0.68,0.792,0.949,0.949,0.949,0.949
1989,0,0.081,0.381,0.68,0.785,0.894,1.043,1.043,1.043,1.043
1990,0,0.067,0.313,0.577,0.686,0.794,0.944,0.944,0.944,0.944
1991,0,0.05,0.229,0.433,0.527,0.619,0.749,0.749,0.749,0.749
1992,0,0.039,0.18,0.344,0.428,0.514,0.641,0.641,0.641,0.641
1993,0,0.031,0.139,0.259,0.321,0.384,0.492,0.492,0.492,0.492
1994,0,0.032,0.137,0.247,0.299,0.354,0.454,0.454,0.454,0.454
1995,0,0.044,0.181,0.324,0.397,0.481,0.635,0.635,0.635,0.635
1996,0,0.058,0.24,0.446,0.601,0.796,1.129,1.129,1.129,1.129
1997,0,0.069,0.28,0.514,0.724,1.016,1.529,1.529,1.529,1.529
1998,0,0.076,0.287,0.489,0.663,0.922,1.407,1.407,1.407,1.407
1999,0,0.085,0.302,0.481,0.622,0.848,1.306,1.306,1.306,1.306
2000,0,0.078,0.262,0.382,0.458,0.587,0.856,0.856,0.856,0.856
2001,0,0.089,0.298,0.429,0.514,0.661,0.958,0.958,0.958,0.958
2002,0,0.117,0.4,0.59,0.736,0.952,1.33,1.33,1.33,1.33
2003,0,0.101,0.352,0.529,0.683,0.89,1.194,1.194,1.194,1.194
2004,0,0.076,0.274,0.426,0.582,0.802,1.103,1.103,1.103,1.103
2005,0,0.094,0.332,0.492,0.648,0.875,1.174,1.174,1.174,1.174
2006,0,0.104,0.356,0.496,0.617,0.789,0.991,0.991,0.991,0.991
2007,0,0.094,0.318,0.429,0.511,0.636,0.788,0.788,0.788,0.788
2008,0,0.092,0.317,0.433,0.518,0.658,0.845,0.845,0.845,0.845
2009,0,0.103,0.359,0.478,0.557,0.679,0.83,0.83,0.83,0.83
2010,0,0.116,0.419,0.575,0.698,0.879,1.078,1.078,1.078,1.078
2011,0,0.082,0.306,0.43,0.528,0.664,0.799,0.799,0.799,0.799
2012,0,0.08,0.313,0.468,0.614,0.826,1.045,1.045,1.045,1.045
2013,0,0.052,0.209,0.315,0.413,0.548,0.687,0.687,0.687,0.687
2014,0,0.055,0.216,0.32,0.406,0.512,0.598,0.598,0.598,0.598
2015,0,0.065,0.263,0.396,0.519,0.693,0.843,0.843,0.843,0.843
2016,0,0.052,0.209,0.314,0.414,0.568,0.69,0.69,0.69,0.69
2017,0,0.052,0.208,0.313,0.413,0.568,0.69,0.69,0.69,0.69
