Year	1	2	3	4	5	6	7	8	9	10+
1959	0	2002	4239	858	1731	200	207	50	10	0
1960	0	4728	4027	2574	513	876	171	131	61	0
1961	0	3093	2686	1331	1066	232	372	78	29	0
1962	0	4424	2500	1255	855	481	93	94	22	0
1963	0	4110	3958	1280	662	284	204	48	30	0
1964	0	2033	3021	2300	630	350	158	79	41	0
1965	0	852	3230	2564	1416	363	155	48	63	0
1966	0	1337	970	2080	1339	606	197	104	33	0
1967	0	1609	2690	860	1706	847	309	64	27	0
1968	0	1529	3322	2663	945	1226	452	105	11	0
1969	0	878	3106	3300	1538	477	713	203	92	0
1970	0	402	1163	2172	1685	752	244	300	44	0
1971	0	328	757	821	1287	1451	510	114	179	0
1972	0	875	1176	810	596	1021	596	154	25	0
1973	0	723	3124	1590	707	384	312	227	120	97
1974	0	2161	1266	1811	934	563	452	149	141	91
1975	0	2584	5689	2157	2211	813	295	190	118	150
1976	0	1497	4158	3799	1380	1427	617	273	120	186
1977	0	425	3282	6844	3718	788	1160	239	134	9
1978	0	555	1219	2643	3216	1041	268	201	66	56
1979	0	575	1732	1673	1601	1906	493	134	87	38
1980	0	1129	2263	1461	895	807	832	339	42	18
1981	0	646	4137	1981	947	582	487	527	123	55
1982	0	1139	1965	3073	1286	471	314	169	254	122
1983	0	2149	5771	2760	2746	1204	510	157	104	102
1984	0	4396	5234	3487	1461	912	314	82	34	66
1985	0	998	9484	3795	1669	770	872	309	65	80
1986	0	210	3586	8462	2373	907	236	147	47	38
1987	0	257	1362	2611	3083	812	224	68	69	26
1988	0	509	2122	1945	1484	2178	492	168	33	25
1989	0	2237	2151	2187	1121	1026	997	220	61	9
1990	0	247	2892	1504	865	410	298	295	51	26
1991	0	192	451	2152	622	303	142	93	53	24
1992	0	205	455	466	911	293	132	53	30	34
1993	0	120	802	603	222	329	96	33	22	25
1994	0	573	788	1062	532	125	176	39	23	16
1995	0	2615	2716	2008	1012	465	118	175	44	49
1996	0	351	5164	4608	1542	1526	596	147	347	47
1997	0	200	1278	6710	3731	657	639	170	51	120
1998	0	455	745	1558	5140	1529	159	118	28	25
1999	0	1246	1044	840	1164	2339	461	62	18	8
2000	0	2170	2737	811	443	700	840	108	8	1
2001	0	3967	3812	2130	373	372	728	443	36	6
2002	0	2099	7354	3405	1688	474	538	417	293	7
2003	0	697	2186	4696	1979	657	182	94	118	21
2004	0	98	673	1230	2051	717	234	63	41	36
2005	0	504	604	896	1146	841	208	41	19	31
2006	0	1110	1097	469	663	801	333	76	10	3
2007	0	506	1226	723	315	289	255	85	20	3
2008	0	287	761	783	430	187	157	156	57	19
2009	0	873	2262	861	618	296	85	55	43	17
2010	0	2113	2034	861	468	481	178	58	33	38
2011	0	328	2343	1234	365	188	126	50	19	2
2012	0	49	517	1346	555	200	99	69	25	22
2013	0	55	173	333	587	175	39	25	15	5
2014	0	387	518	286	499	350	86	14	9	1
2015	0	156	1035	522	210	282	221	47	23	7
2016	0	177	378	709	216	147	144	67	19	2
