Year,1,2,3,4,5,6,7,8,9,10+ 
1995,21.5,33,43,52,59.1,64.1,76,87.4,89,108.3
1996,19,30.2,41.7,52.5,59.2,65.2,79.1,84.8,87,114.2
1997,16.8,28.7,40.8,51.6,58.1,65.9,73.6,80.8,102,110.7
1998,20.3,33.3,43.8,51.4,59.1,66.3,74.1,81,93.2,116.9
1999,21.5,32.6,43.8,54.6,59.6,65.8,77.9,90.8,99.4,118
2000,21.6,33.3,43.4,53.5,61,66.1,75.5,90.8,99.1,105.5
2001,21.1,33.3,44.5,53.6,62.9,64.7,88.7,84.2,85.7,102.1
2002,22.5,34.4,44.6,56,61.6,67.7,72.4,66.6,89,108.3
2003,18.9,33.8,42.1,51.6,60,67.2,72.7,76.9,84.9,94.8
2004,20.7,32.9,43.5,54.5,59.9,68,71.9,75,74.6,91.8
2005,22.5,32.8,42.2,57.9,60.6,64,71.3,69.9,73.5,108.4
2006,22.2,36.1,47,55.5,61.4,68,69.5,77.8,87,100.5
2007,21.6,36,48,57.9,62.2,66.8,71.8,86.6,100.2,106.3
2008,21.9,36.9,49.2,59,66.1,70.9,71.7,74.1,77.6,98.8
2009,20.9,34.5,47.8,57.8,65.8,70.5,77.9,78.4,85.1,73.5
2010,20.3,34.9,46.4,57.5,64.6,71.2,76.9,75.2,78.9,82.7
2011,20.6,32.9,47.2,59.5,66.1,71.5,79.9,82,81.1,83.9
2012,21.3,32.4,46.9,58.8,66.1,72,77,77.5,82.2,87.3
2013,21.5,33.6,44.5,56.7,66.2,71.3,74.2,84.2,84.6,88.1
2014,21.7,35.1,47.7,57.3,66.4,73.5,76.6,80.5,81.7,93
2015,19.9,33.5,46.9,58,66.5,70.3,77.8,77.7,80.5,85.5
2016,20.5,32.9,47.8,58.7,67.8,72.2,75.1,83,89.7,86.9
2017,23.5,35.6,47.2,58.3,66.1,72.6,75.2,82.4,82.6,91.2
