Stock,Decade,Catch,Abar,A50mat,W5
Greenland inshore,2008-2017,17100,5.1,4.3,1.6
Northeast Arctic,2008-2017,758000,6.7,7,1.2
Iceland,2008-2017,204000,5.9,6.4,2.7
Faroe Plateau,2008-2017,7600,3.9,2.7,3.3
Norway coastal,2008-2017,44400,5.4,5.2,2.9
North Sea,2008-2017,33900,2.3,2.5,6
Kattegat,2008-2017,200,1.6,2.1,3.7
Western Baltic,2008-2017,15100,2.9,1.7,3
Eastern Baltic,2008-2017,51200,3.9,2,0.6
Irish Sea,2008-2017,500,2,1.7,7.9
Southern Celtic,2008-2017,4200,2.3,2.2,9.2
Northern,2006-2015,3700,6.7,5.3,1
Flemish Cap,2008-2017,9300,4.6,4,2.2
Grand Bank,2008-2017,800,4.6,5.5,0.9
St Pierre,2007-2016,7700,6.9,5.2,1.2
Gulf of Maine,2002-2011,6400,4.2,2.5,2.8
Georges Bank,2002-2011,5900,4,2.3,3.3
