Year,1,2,3,4,5,6,7,8+
1988,0.000,0.018,0.333,0.578,0.637,0.650,0.781,0.781
1989,0.000,0.011,0.351,0.786,0.724,0.788,0.861,0.861
1990,0.000,0.018,0.377,0.905,0.910,1.244,1.033,1.033
1991,0.000,0.023,0.291,0.469,0.538,0.567,0.659,0.659
1992,0.000,0.140,0.971,1.454,1.763,1.438,1.979,1.979
1993,0.000,0.084,0.663,1.129,1.075,1.536,0.862,0.862
1994,0.000,0.189,0.970,1.739,1.372,1.352,0.989,0.989
1995,0.000,0.183,0.534,1.483,1.876,2.309,2.147,2.147
1996,0.000,0.047,0.240,0.491,0.697,0.916,0.820,0.820
1997,0.000,0.107,0.558,0.840,1.354,2.039,1.839,1.839
1998,0.000,0.042,0.194,0.320,0.460,0.542,0.391,0.391
1999,0.000,0.023,0.223,0.180,0.224,0.225,0.079,0.079
2000,0.000,0.005,0.125,0.026,0.042,0.032,0.010,0.010
2001,0.000,0.007,0.134,0.036,0.054,0.040,0.013,0.013
2002,0.000,0.002,0.035,0.011,0.016,0.011,0.004,0.004
2003,0.000,0.000,0.010,0.004,0.005,0.004,0.002,0.002
2004,0.000,0.000,0.003,0.001,0.002,0.001,0.001,0.001
2005,0.000,0.000,0.003,0.001,0.002,0.001,0.001,0.001
2006,0.000,0.002,0.075,0.039,0.046,0.032,0.028,0.028
2007,0.000,0.000,0.010,0.016,0.018,0.017,0.023,0.023
2008,0.000,0.002,0.014,0.030,0.040,0.036,0.029,0.029
2009,0.000,0.001,0.008,0.025,0.030,0.029,0.032,0.032
2010,0.000,0.011,0.069,0.131,0.188,0.194,0.206,0.206
2011,0.000,0.010,0.087,0.111,0.219,0.275,0.362,0.362
2012,0.000,0.006,0.059,0.076,0.150,0.203,0.283,0.283
2013,0.000,0.006,0.061,0.073,0.146,0.211,0.275,0.275
2014,0.000,0.002,0.031,0.076,0.097,0.164,0.222,0.222
2015,0.000,0.004,0.046,0.068,0.112,0.187,0.224,0.224
2016,0.000,0.005,0.060,0.069,0.119,0.126,0.209,0.209
2017,0.000,0.005,0.043,0.032,0.101,0.129,0.168,0.168
