Year,1,2,3,4,5,6,7,8+
1988,0.058,0.198,0.442,0.821,2.190,3.386,5.274,7.969
1989,0.069,0.209,0.576,0.918,1.434,2.293,4.721,7.648
1990,0.080,0.153,0.500,0.890,1.606,2.518,3.554,7.166
1991,0.118,0.229,0.496,0.785,1.738,2.622,3.474,6.818
1992,0.115,0.298,0.414,0.592,1.093,1.704,2.619,3.865
1993,0.115,0.210,0.509,0.894,1.829,2.233,3.367,4.841
1994,0.112,0.248,0.649,0.973,1.686,2.331,3.008,4.898
1995,0.112,0.248,0.649,0.973,1.686,2.331,3.008,4.898
1996,0.110,0.286,0.789,1.051,1.543,2.429,2.730,4.653
1997,0.107,0.360,0.754,1.038,1.506,2.115,2.451,4.408
1998,0.098,0.472,0.719,1.024,1.468,1.800,2.252,3.862
1999,0.098,0.472,0.920,1.298,1.848,2.436,3.513,4.893
2000,0.098,0.583,0.672,1.749,2.054,2.836,3.618,5.055
2001,0.098,0.481,0.998,1.696,2.560,3.303,3.905,5.217
2002,0.098,0.588,1.323,1.388,2.572,3.770,5.158,5.603
2003,0.098,0.462,1.063,1.455,2.978,3.696,5.859,6.120
2004,0.098,0.839,1.677,2.009,3.353,5.576,6.241,8.273
2005,0.098,0.895,1.618,2.368,3.259,4.767,6.177,6.553
2006,0.098,1.081,1.462,2.283,3.966,5.035,6.332,7.997
2007,0.098,0.974,1.858,3.388,4.062,6.128,6.809,9.440
2008,0.088,0.448,1.364,3.037,3.498,5.248,6.643,8.251
2009,0.172,0.507,1.026,2.087,3.727,4.810,5.900,9.534
2010,0.162,0.700,1.279,1.829,2.764,4.372,4.199,8.575
2011,0.086,0.396,0.939,1.522,2.228,3.560,5.980,8.753
2012,0.086,0.374,0.990,1.491,2.136,3.583,6.183,9.183
2013,0.007,0.284,0.762,1.305,2.112,2.990,4.530,8.564
2014,0.108,0.203,0.538,1.108,1.809,2.874,4.087,7.671
2015,0.085,0.261,0.531,0.857,1.370,1.938,3.570,6.252
2016,0.085,0.191,0.550,0.787,1.237,2.157,3.439,6.719
2017,0.085,0.106,0.441,0.715,1.239,2.090,3.002,5.821
